Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,4.2,10,-7.2,1005.3,,0,28,6.5,11.1,,,,,
2,3.8,6.1,1.1,1004.3,77,0.25,27.4,17.6,29.4,,,,,
3,2.2,7.2,-2.2,1011.8,76,0,14.5,5.4,18.3,,,,,
4,2.6,3.9,0,1003.2,95,3.05,4.7,13,18.3,,,,,
5,1.3,6.1,-2.2,1014.1,69,0,41.7,5,11.1,,,,,
6,2.4,7.8,-3.9,1019.2,62,0,31.7,5.6,29.4,,,,,
7,2.1,6.1,-2.2,1014.3,60,0,30.4,3.7,11.1,,,,,
8,5,12.2,-2.2,1010.6,65,0,20.4,5.6,11.1,,,,,
9,5.6,8.9,2.2,1009.3,72,0,32.8,12,29.4,,,,,
10,3.9,6.1,2.8,1003.6,92,6.1,7.6,11.5,18.3,,,,,
11,5.3,8.9,1.1,1008,55,0,16.1,24.1,42.4,,,,,
12,3.4,6.1,1.1,1011.7,69,0,43.3,8.3,18.3,,,,,
13,1.7,3.9,0,1007.5,,2.03,11.3,8.3,14.8,,,,,
14,0.3,1.1,0,1009.2,97,10.92,5.3,16.9,31.3,,,,,
15,2.2,6.1,0,1024.3,68,3.05,42.8,5,11.1,,,,,
16,3.6,8.9,-2.8,1028.9,54,0,43.8,4.6,11.1,,,,,
17,4.2,8.9,-1.1,1019.9,73,0.51,24.8,9.3,22.2,,,,,
18,6.6,10,2.8,1013.7,81,0,7.6,2.8,3.5,,,,,
19,7.6,12.8,3.9,1013.8,77,0.51,8.2,3.7,11.1,,,,,
20,6.4,10,2.2,1012.6,85,,12.4,8.3,18.3,,,,,
21,6.7,10,3.9,1013.1,85,0.51,33.3,12,18.3,,,,,
22,4.2,7.8,0,1008.8,72,7.87,31.9,26.9,50,,,,,
23,5.6,7.8,2.2,1012.7,76,1.02,28,16.5,35.2,,,,,
24,10.3,13.9,6.1,1008.4,79,4.57,10.8,12.8,18.3,,,,,
25,8.4,13.9,2.2,1013.7,59,1.02,38,7.8,18.3,,,,,
26,13.5,20,6.1,1008.1,67,0,14.6,13.9,18.3,,,,,
27,15.3,23.9,11.1,1002.8,77,8.89,23,13.3,18.3,,,,,
28,8.7,12.8,6.1,1012.2,64,0,40.6,13.3,18.3,,,,,
29,7.6,10,5,1009.6,88,6.1,9,5.6,18.3,,,,,
30,8.4,12.2,6.1,1008.3,72,4.06,19.6,12,22.2,,,,,
