Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-16.2,-12.8,-18.9,1026.6,78,0,7.7,3.7,7.6,,,,,
2,-11.1,-10,-20,1026.2,90,0.25,4.5,11.5,18.3,,,,,
3,-7.5,-6.1,-8.9,1024.5,92,,8.7,18.5,22.2,,,,,
4,-11.3,-7.2,-12.8,1027.6,84,74.93,8.9,12.6,25.9,,,,,
5,-8.5,-7.2,-15,1015.3,84,0.25,6.1,26.3,35.2,,,,,
6,-6.6,-5,-7.2,1007.5,88,1.02,10,8.1,18.3,,,,,
7,-5.2,-2.2,-12.2,1009.1,90,0.25,6.1,11.7,22.2,,,,,
8,-14.3,-10,-18.9,1022.6,85,0,4.7,5.2,7.6,,,,,
9,-10.2,-7.8,-11.1,1022.2,92,0.25,1.6,12.2,18.3,,,,,
10,-13.8,-10,-23.9,1024.2,90,0.51,3.4,6.9,18.3,,,,,
11,-13.7,-12.2,-15,1023.9,88,1.02,5.6,3.7,11.1,,,,,
12,-17.4,-15,-23.9,1024.5,82,74.93,4.3,2.2,3.5,,,,,
13,-22.7,-21.1,-25,1022.3,79,74.93,3.9,9.6,11.1,,,,,
14,-19,-17.2,-21.1,1014.4,86,0.51,4.2,13,18.3,,,,,
15,-17.6,-16.1,-20,1006.9,80,1.02,5.8,13,14.8,,,,,
16,,,,,,,,,,,,,,
17,-17.5,-16.1,-21.1,1024.3,79,74.93,3.4,15.4,22.2,,,,,
18,-18.3,-17.2,-21.1,1028.5,76,74.93,8.9,34.8,42.4,,,,,
19,-15.3,-6.1,-22.2,1023.7,80,,4.5,31.5,35.2,,,,,
20,-12.1,-5,-17.2,1014.7,76,,10.3,23.5,29.4,,,,,
21,-18.4,-15,-21.1,1022.4,80,0,6.3,14.3,22.2,,,,,
22,-20.8,-13.9,-28.9,1030.1,79,0,3.9,10.7,18.3,,,,,
23,-12.6,-10,-15,1028.6,81,0.25,9.3,10.4,18.3,,,,,
24,-7.6,-6.1,-12.8,1025.1,92,1.52,4.7,23.2,29.4,,,,,
25,-9.3,-8.9,-10,1028.4,88,0.51,3.2,10.4,18.3,,,,,
26,-10.9,-7.8,-15,1027,83,0.51,4.2,6.3,14.8,,,,,
27,-13,-11.1,-16.1,1026.4,82,0.76,6,18.3,25.9,,,,,
28,-15.3,-12.2,-20,1031.7,82,,5,12,25.9,,,,,
29,-12.6,-8.9,-15,1030.1,82,1.27,5.1,8,14.8,,,,,
30,-15.1,-11.1,-22.2,1030,85,74.93,2.9,4.4,7.6,,,,,
31,-18.2,-10,-27.2,1022.9,88,74.93,2.1,9.3,18.3,,,,,
