Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,16.2,23.9,12.5,1009.1,83,7.11,5,9.1,18,,,,,
2,14.7,17,12.3,1010.6,90,3.3,5.3,7.2,14.4,,,,,
3,16.2,18.3,14.2,1017,82,0.51,6,15.4,25.2,,,,,
4,18.8,24,13,1017.7,49,0,6,17.4,25.2,,,,,
5,18.6,24.7,10.2,1012.7,64,7.87,6,6.7,14.4,,,,,
6,18.7,25.2,12.1,1010.2,69,0,6,5,7.2,,,,,
7,18.9,24.9,14.5,1007.7,61,0.76,6,6.3,14.4,,,,,
8,16.7,20.3,11.9,997.2,66,0,6,12.2,21.7,,,,,
9,13.7,19.1,9.8,996.2,69,6.1,5.6,17.6,21.7,,,,,
10,12.2,18,8.7,1008.6,70,2.03,5.6,8.3,14.4,,,,,
11,9.8,15.2,7.4,1013,75,1.02,6.4,15.4,18,,,,,
12,8.2,12.2,5.4,1019.5,69,0,6,14.4,21.7,,,,,
13,9.3,16.3,2.8,1022,63,0,6,9.1,18,,,,,
14,10.1,14,1.9,1016.6,82,0.76,4.8,7.6,10.7,,,,,
15,14.6,20,10.9,1007.6,77,2.03,4.5,8.1,21.7,,,,,
16,12.3,17,8.1,1008,79,0,6,9.8,14.4,,,,,
17,13.3,17.9,10.3,1011.1,80,4.06,5.6,12.6,18,,,,,
18,14.8,20.1,8.4,1017.7,64,0,6,10.7,21.7,,,,,
19,14.7,20.1,8.7,1018.6,77,0.25,6,9.8,21.7,,,,,
20,14.6,19.4,11.1,1014.8,86,2.03,6,9.1,14.4,,,,,
21,17.6,22.6,13.1,1010.8,71,0.51,5.3,5.4,10.7,,,,,
22,19.2,25.2,10.3,1006.9,61,0,5.8,2.8,3.5,,,,,
23,20.3,26,16.1,1004.6,71,0.51,5.5,3.1,7.2,,,,,
24,15.3,19,11.6,1007,67,5.08,6,6.7,14.4,,,,,
25,13.6,17.9,10.8,1010.3,72,0,6,5,10.7,,,,,
26,13.1,18.1,4.9,1012.6,64,1.02,5.8,5.9,10.7,,,,,
27,14.4,19.1,10.1,1014.1,70,0,5.8,7.6,14.4,,,,,
28,16.7,22.6,9.9,1014.2,60,0,6,13.5,21.7,,,,,
29,17.9,24.2,12.7,1008.8,72,0,6,9.8,18,,,,,
30,14,19.9,8,1012,75,0.51,5.1,5.4,14.4,,,,,
