Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,17.5,20,15.2,1021.2,97,0,7.2,17.4,20.6,,,,,
2,17.4,20.5,16,,95,0,10.1,10.7,13,,,,,
3,18.4,20.5,17,1023,96,0,8.2,11.9,24.1,,,,,
4,17.6,20,16,1023.3,87,0,20,24.8,29.4,,,,,
5,17.7,19.5,16,1021.9,89,0,20,20.7,24.1,,,,,
6,17.8,21,16.6,1018.6,92,0,15.9,10.4,14.8,,,,,
7,17.6,19.8,16,1016.8,96,0,6.1,6.1,9.4,,,,,
8,17.8,20.3,16,1017.8,94,0,11.1,7,11.1,,,,,
9,17.9,21,15.3,1015.4,94,0,4.2,6.1,11.1,,,,,
10,18.5,22,15.5,1013.4,93,0,4.2,13.3,20.6,,,,,
11,18.5,22,16.8,1015.7,92,0,10.9,9.6,16.5,,,,,
12,19.1,20,17,1020.7,90,0,13,9.3,13,,,,,
13,19.2,22,16.5,1019.8,91,0,5.3,15.2,16.5,,,,,
14,19.3,24,16.6,1017.1,88,0,15.9,15.6,22.2,,,,,
15,18.3,19.2,16.5,1016.4,89,0,20,24.4,29.4,,,,,
16,17.8,24,15,1016.8,86,0,19,17,25.9,,,,,
17,18.1,24,14.5,1018.4,89,0,20,11.9,20.6,,,,,
18,18.3,24,15,1018.6,83,0,20,6.1,9.4,,,,,
19,19.4,22.2,16,1017,85,0,18,5.6,7.6,,,,,
20,17.7,22.5,16,1018,94,199.9,9,7,11.1,,,,,
21,18.2,20.3,15,1020.2,94,0,10.3,5.2,7.6,,,,,
22,17.7,20.5,14.5,1020.9,94,0,4.5,5.7,9.4,,,,,
23,18.1,20.2,15.8,1020.3,92,0,16.1,7.4,14.8,,,,,
24,18.3,20,16,1019.7,94,0,14,5.4,5.4,,,,,
25,18.7,19.5,16.9,1019.8,88,0,16.3,15.2,20.6,,,,,
26,16.7,18.4,15,1017.9,94,0,9.2,15.6,18.3,,,,,
27,16.3,19.5,15,1017.7,99,0,3.1,8.9,14.8,,,,,
28,18.4,22.5,16,1021.3,88,0,13.4,3.9,5.4,,,,,
29,17.7,24.5,16,1022.6,95,0,18.8,7.8,14.8,,,,,
30,20.1,21,17,1019.6,81,0,19,7.4,9.4,,,,,
