Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,11.4,15,9,1016.9,89,2.03,12.2,6.5,13,,,,,
2,8.4,12,7,1012.8,91,16,17.2,6.1,9.4,,,,,
3,8.2,14,4,1016.1,84,1.02,9.3,5,11.1,,,,,
4,9.8,15,5,1020.3,78,0,21.4,5.7,11.1,,,,,
5,11.3,18,6,1020.9,76,0,25.7,6.3,11.1,,,,,
6,13.1,22,7,1017.8,79,0,11.4,5,13,,,,,
7,16,25,8,1013.1,63,0,24.9,6.7,14.8,,,,,
8,17.6,25,12,1007,55,0,24.9,4.1,13,,,,,
9,13.2,18,10,1005.4,79,0,15,4.4,11.1,,,,,
10,12.4,17,10,1007.8,74,0,11.9,13,16.5,,,,,
11,9.6,14,7,1007,87,3.05,9,4.4,9.4,,,,,
12,9.6,13,8,999.1,84,5.08,12.9,7,14.8,,,,,
13,10.6,15,8,1003,86,16.51,17.9,4.1,14.8,,,,,
14,13.4,17,12,1013.6,80,0,17.5,7.4,9.4,,,,,
15,11.6,15,10,1016.7,86,2.29,9.5,6.9,13,,,,,
16,12.5,18,10,1019.9,83,0,4.3,6.3,16.5,,,,,
17,12,18,9,1016.4,86,0,8.2,5,11.1,,,,,
18,15.4,24,9,1014.6,57,0,19.8,9.4,16.5,,,,,
19,14.7,24,9,1016.8,61,0,17.5,6.5,11.1,,,,,
20,14.2,19,11,1018.5,78,0,12.4,5.2,7.6,,,,,
21,13.6,19,10,1015.4,76,12.95,22.2,7.6,16.5,,,,,
22,12.8,22,8,1016.8,81,0.25,15,4.3,11.1,,,,,
23,14.4,22,8,1017.7,70,0,12.6,5.9,11.1,,,,,
24,13.8,19,11,1018,71,0,14.2,6.3,11.1,,,,,
25,11.5,18,7,1014.4,79,0,9.2,6.7,11.1,,,,,
26,12.8,19,10,1008.3,80,7.11,9.7,5.2,14.8,,,,,
27,10.6,15,7,1004.7,70,0,12.6,6.3,14.8,,,,,
28,9.8,15,5,1003.8,77,0,15.9,6.5,13,,,,,
29,10.4,15,5,1013,63,0,21.4,14.3,24.1,,,,,
30,10.6,16,6,1017,87,4.06,14.8,9.1,16.5,,,,,
