Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,18.7,21,15.4,1025,60,0,,12.8,25.9,28.7,,,,
2,19.8,23.2,17.2,1023.8,48,0,20,16.3,32.4,,,,,
3,20.3,24.2,16.4,1023.5,60,0,20,17,38.9,,,,,
4,21.5,22.5,18.3,1023.8,51,0,20,10.6,14.8,28.7,,,,
5,19.7,21.6,16.8,1018.8,69,0,16.9,18.1,32.4,50.4,,,,
6,18.4,21,15.7,1020.6,74,0,17.1,5.6,14.8,22.2,,,,
7,18.2,20.2,15.8,1026.3,72,0,13.7,5.9,7.6,,,,,
8,18.2,20.2,16,1029.5,73,0.25,18.2,7.2,18,32.4,,,,
9,18.5,20.7,16.4,1030.9,65,0.25,20,15.6,25.9,43.2,,,,
10,17.4,18.7,16.5,1032.5,68,0,19.8,20.9,25.2,35.9,,,,
11,17.1,18.2,15.3,1029.3,78,0.51,18.5,12.4,22.2,35.2,,,,
12,17.6,19.2,15.4,1026.4,75,0,20,7.2,14.4,,,,,
13,17.8,19.7,16.2,1025.4,75,,19.2,10,18.7,21.7,,,,
14,17.9,20.5,15.7,1024.8,74,0,20,5.6,7.6,,,,,
15,17.8,20.5,14.7,1026.6,72,0,20,8.7,14.4,29.4,,,,
16,17.6,19.5,15.3,1028.3,75,0,20,10.9,14.8,21.7,,,,
17,18.8,20.6,17.5,1030.5,65,0,20,22.8,29.4,43.2,,,,
18,17.2,18.2,16.1,1031.8,75,0.25,15.9,35.7,43.2,61.1,,,,
19,16.1,16.7,15.4,1029.3,61,0.76,20,33.2,39.6,61.1,,,,
20,16.1,18.7,14.2,1024.8,61,0,17.9,23.7,29.4,50.4,,,,
21,13.9,15.2,12.1,1020.4,76,9.91,14.5,18.1,32.4,57.6,,,,
22,18.4,20.2,13.9,1023.8,73,39.12,19.2,29.6,39.6,64.8,,,,
23,18.6,20,17.5,1026.4,66,0,15.8,38.9,43.2,64.8,,,,
24,18.4,19.7,17.2,1027.7,71,0,14,28,35.9,53.9,,,,
25,18,20.2,16.7,1028.6,74,0,15,28.3,39.6,57.6,,,,
26,17.1,19.6,15.4,1027.9,72,0,15.8,31.7,38.9,64.8,,,,
27,16.6,17.5,15.5,1025.5,67,0,15.6,22,31.7,35.9,,,,
28,17.4,19.2,15.4,1023.1,62,0,20,11.9,18.7,22.2,,,,
29,17.9,20.5,14.7,1024.3,73,0,20,5.9,11.1,,,,,
