Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,15.3,18,13,1026.9,84,1.02,41.4,12.2,18.3,38.9,,,,
2,15.3,17,14,1027,77,0,45.1,11.3,20.2,,,,,
3,15.2,17,14,1024.7,80,0,34.9,30.4,38.9,50,,,,
4,15.4,19,13,1020.8,88,0,34.9,28.7,34.8,,,,,
5,15.4,17,15,1018,93,2.03,8.4,32,38.9,72.2,,,,
6,16.4,22,14,1011.8,85,3.05,19.2,26.9,31.3,59.1,,,,
7,15.7,19,15,1011.9,91,2.54,26.2,20.2,24.1,,,,,
8,,,,,,,,,,,,,,
9,15,16,14,1015.5,88,0,13.5,7.4,24.1,,,,,
10,,,,,,,,,,,,,,
11,15.7,18,15,1022.4,76,0,26.4,43.5,61.1,81.3,,,,
12,15.2,18,14,1029.1,73,0,32.8,26.7,42.4,77.8,,,,
13,14.5,17,13,1029.8,73,0,41.7,24.3,42.4,50,,,,
14,13.7,15,13,1028.6,77,0,40.1,27.6,38.9,,,,,
15,14,16,12,1026.6,72,0,37,27.8,31.3,44.3,,,,
16,13.8,16,13,1024,72,0,38.3,14.6,33.2,,,,,
17,13.7,15,13,1016.6,79,3.05,25.3,27.8,33.2,72.2,,,,
18,12.7,15,11,1011.6,91,23.88,18,6.3,31.3,59.1,,,,
19,14.5,18,11,1011.5,78,1.02,40.9,4.8,10.7,,,,,
20,15,17,14,1013.6,73,0,20.4,18.3,24.1,,,,,
21,13.8,17,12,1018.7,79,0,25.4,10,14.8,,,,,
22,15.8,23,13,1020.6,71,0,32.5,25.2,33.2,,,,,
23,14.8,16,13,1007,89,11.94,15.9,43.7,50,109.5,,,,
24,13.6,17,13,1001.3,78,2.03,31.4,30.4,42.4,,,,,
25,,,,,,,,,,,,,,
26,14,16,13,1001.3,69,1.02,16.7,32.6,42.4,,,,,
27,14.8,17,13,1005.8,91,3.05,11.9,26.9,37,,,,,
28,15.7,17,13,1001.8,83,0.25,16.3,31.5,37,61.1,,,,
29,15,18,14,993.5,89,2.03,23.2,37,50,57.2,,,,
30,14.4,18,13,995,84,2.03,28,23.9,61.1,,,,,
