Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,19.7,23.8,17.2,1027,80,0.51,26.2,13.1,20.6,40.7,,,,
2,19,22.3,16.6,1031.6,81,0,21.2,7.4,13,,,,,
3,18.9,20,18.2,1027.6,92,2.03,14,12,20.6,,,,,
4,19.7,22.2,17.7,1019.7,89,3.05,19.2,13.9,20.6,44.6,,,,
5,19,21.7,17,1022.1,87,0,30.3,11.7,22.2,,,,,
6,19.1,24.9,16.1,1027.7,90,0,27.5,5.7,9.4,,,,,
7,20.1,23.6,17.3,1030.4,90,0,26.9,11.3,24.1,,,,,
8,20.5,23.4,19.3,1027.4,89,0,23.8,21.3,37,,,,,
9,19.1,21.2,16.2,1024.9,83,0,28.8,18,29.4,,,,,
10,18.4,23,15.2,1025.3,90,2.03,25.6,13.1,22.2,,,,,
11,20.3,23.3,17.7,1023.4,92,2.54,19.6,8.5,16.5,,,,,
12,20,23.4,17.2,1023.8,94,0,23.8,7,22.2,,,,,
13,20.8,23.2,19.6,1021.6,89,0,25.6,16.9,25.9,,,,,
14,21.1,22.5,20.2,1010,91,0,14.3,37.4,46.5,,,,,
15,18.1,21.6,14.4,1007.3,78,2.54,19.2,38,55.4,,,,,
16,16.7,20.5,13.2,1019,74,0,28.2,15.9,25.9,,,,,
17,18,20.7,14,1012.3,92,3.05,17.7,29.3,35.2,,,,,
18,16.8,20.4,15.1,1014.3,76,0.51,27.8,19.8,31.3,55.4,,,,
19,14.9,18,12.9,1020.2,76,0,24.3,13,18.3,,,,,
20,14.1,15.2,13.3,1017.5,91,22.1,16.4,18.7,50,,,,,
21,16.1,18.4,12.6,1016.5,77,28.96,26.2,28,53.5,,,,,
22,15.7,19.4,13.6,1025.4,80,0,29.5,11.3,25.9,,,,,
23,15.4,18.7,13.2,1030.1,77,0,28.2,9.6,16.5,46.5,,,,
24,15.3,19,12.6,1032.3,80,0,30.6,8.9,13,,,,,
25,17.5,20,14.2,1027.2,92,5.08,28.6,18.5,27.8,,,,,
26,16.2,19.4,14.8,1027.3,78,0.25,26.9,15.6,27.8,,,,,
27,16,19.2,12.9,1029.5,76,0,26.2,10.7,20.6,,,,,
28,17.7,19.5,16.2,1018.4,93,4.06,19.6,29.4,38.9,,,,,
29,14.7,16.6,13.4,1016.1,80,1.52,20.9,24.8,27.8,,,,,
30,14.8,18.1,12.1,1016.5,81,4.06,18.8,22.4,33.5,,,,,
31,15.8,18.6,13.1,1015.1,82,0.51,20.9,23.7,42.4,,,,,
