Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,20.5,26.2,16,1017.2,68,0,28.2,11.9,22.2,,,,,
2,22.2,29.1,17.6,1015.3,70,0,22.7,10.2,22.2,,,,,
3,22.8,29.8,18.4,1014.0,69,0,24.9,11.3,22.2,,,,,
4,22.1,28.1,18,1016.9,67,0,24.3,13.9,25.9,,,,,
5,21.2,28.1,16.8,1019.1,64,0,28.2,16.5,25.9,,,,,
6,20.2,26.7,16.4,1018.8,68,0,16.6,16.9,25.9,,,,,
7,20.9,28,17.2,1016.4,71,0,17.4,13.7,20.6,,,,,
8,21.9,28.7,17.4,1016.6,65,0,20,15.4,35.2,,,,,
9,20.4,23.9,17.7,1013.6,75,0,18.8,21.9,31.3,,,,,
10,20.5,23.6,18.3,1015.0,73,0,11.3,19.1,20.6,,,,,
11,20.9,26.2,17.4,1017.3,73,1.02,15.4,10.9,24.1,,,,,
12,21.4,26.2,17.2,1017.1,64,0,21.7,15.9,27.8,,,,,
13,20.7,26,17.6,1016.2,68,0,13.8,19.4,27.8,,,,,
14,22.4,28.9,18,1013.7,65,0,11.6,19.4,27.8,,,,,
15,22,29.4,17.6,1016.8,68,0,9.3,15.4,25.9,,,,,
16,20.4,27.1,16.8,1018.2,72,0,7.1,16.9,27.8,,,,,
17,21.2,27.5,17.3,1018.4,66,0,7.7,21.7,29.4,,,,,
18,22.4,32.7,17.4,1016.7,59,0,14.2,12,16.5,,,,,
19,23.7,34.1,16.8,1013.3,57,0,10.8,9.4,16.5,,,,,
20,20.8,25.7,16.3,1012.0,71,0,9.2,10.6,20.6,,,,,
21,20.9,25.2,18.3,1014.2,70,0,13.5,10.4,14.8,,,,,
22,20.7,26.3,16.9,1017.3,73,0,15.8,10.6,16.5,,,,,
23,22.1,26.7,18.1,1021.3,68,0,20.6,15,27.8,,,,,
24,19.3,23.8,15.8,1022.5,66,0,22.5,21.3,25.9,,,,,
25,21.2,27.1,18,1019.0,67,0,20,18.7,33.5,,,,,
26,24.8,33.7,18.4,1015.1,57,0,17.5,15.4,18.3,,,,,
27,24.1,32.9,18.9,1014.0,61,0,13.7,12.8,20.6,,,,,
28,21.8,26.6,18,1015.8,64,0,17.1,20,29.4,,,,,
29,20.7,25,18.2,1016.4,75,0,17.2,18.7,25.9,,,,,
30,21.6,25.1,18.9,1015.5,74,0,21.2,15.9,22.2,,,,,
31,20.5,24.4,18.6,1016.4,75,0.51,20.9,15.6,27.8,,,,,
