Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,16.6,19,14,1010,80,8.89,9.8,22.6,29.4,46.1,,,,
2,14.7,16,14,1013.9,86,0.25,11.3,27.4,42.4,63,,,,
3,14.9,17,14,1022.1,83,0.51,11.1,21.3,33.5,53.5,,,,
4,15.6,18,13,1027.2,84,12.95,11.1,7,14.8,,,,,
5,15.9,19,11,1025.5,85,0,11.1,10.7,27.8,47.8,,,,
6,16.9,20,14,1020.4,81,6.1,10.1,14.4,29.4,44.3,,,,
7,17.6,21,15,1018.5,83,0,11.1,16.5,31.3,46.1,,,,
8,18.2,21,16,1022,89,0,11.1,18.3,31.3,46.1,,,,
9,17.9,21,16,1025.8,88,0,10.6,13.9,25.9,29.4,,,,
10,17.3,19,16,1027.1,93,0,10.3,16.5,21.9,33.2,,,,
11,16.6,18,16,1026.5,89,0.51,10.6,15.9,25.9,38.9,,,,
12,16.6,19,14,1025.9,77,0,10.3,15.2,20.6,27.8,,,,
13,16.2,20,13,1022.6,85,1.02,9.5,10.6,18.3,,,,,
14,16.8,19,15,1016.2,83,2.03,10.8,11.7,21.9,31.3,,,,
15,15.8,18,14,1015.6,83,0.25,11.1,23.7,33.5,42.4,,,,
16,15.1,17,14,1018.3,82,1.52,11.1,10.9,18.3,27.8,,,,
17,13.9,17,11,1019.9,82,1.02,10.8,1.7,7.6,,,,,
18,14.8,18,12,1022.1,81,1.27,11.1,7.2,14.8,,,,,
19,15.4,18,12,1025.4,73,0,11.1,10.9,20.2,,,,,
20,15.6,18,12,1028.9,78,0,11.1,10.4,20.2,,,,,
21,16.1,19,13,1029.8,83,0,11.1,13,27.8,40.7,,,,
22,17.2,20,15,1028.6,85,0,11.1,16.1,24.1,40.7,,,,
23,16.8,19,15,1030.4,94,1.27,10,11.7,20.2,,,,,
24,16.4,18,15,1033.8,75,1.02,11.1,9.4,21.9,31.3,,,,
25,15.6,19,12,1034.1,75,0,11.1,6.7,18.3,25.9,,,,
26,15.3,19,11,1032.6,79,0,11.1,3.7,10.7,20.2,,,,
27,15.9,20,12,1029.2,82,0,11.3,4.4,13,,,,,
28,17.9,21,16,1024.3,80,0,11.1,12.6,23.7,34.8,,,,
29,17.1,19,16,1019.8,86,4.32,10.5,11.7,27.8,42.4,,,,
30,17.2,19,15,1013.1,79,1.02,11.1,20.4,31.7,49.6,,,,
31,17.2,20,13,1011.1,84,0.25,10.9,15.9,44.3,72,,,,
