Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,5.3,7.6,3.4,,93,4.06,3.4,27.8,46.5,,,,,
2,,,,,,,,,,,,,,
3,5.3,9.2,4.4,,76,0,10,0,,,,,,
4,3.3,6.6,2.4,,85,1.02,4,4.4,22.2,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,4.4,9.8,3.2,,87,5.08,8.2,7.8,13,,,,,
25,6.9,9.7,5.2,,68,0,10.9,12.6,14.8,,,,,
26,5.9,10,4.2,,83,0.51,9.7,14.1,14.8,,,,,
27,12.2,15.6,9.2,,54,0,15.1,14.4,16.5,,,,,
28,6.1,8,3.4,,85,1.02,5.1,20.7,25.9,,,,,
29,9.1,11.7,7.2,,80,0,7.7,10.4,16.5,,,,,
30,10.7,14.5,7.8,,72,0,9,13.3,16.5,,,,,
