Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.7,33.6,14.7,,54,0,7.7,12.6,25.9,,,,,
2,19.3,23,16.1,,88,0,5,7.6,16.5,,,,,
3,18.6,21,16.1,,86,0,4.8,8.9,14.4,,,,,
4,16.8,20,13.9,,94,2.03,7.4,6.5,20.6,,,,,
5,17.2,20,14,,89,0.51,9.2,11.1,25.9,,,,,
6,15.5,20.5,11,,88,0,7.4,5.6,16.5,,,,,
7,16.8,20,13.9,,96,2.03,6.9,11.3,25.9,,,,,
8,16.7,19,13,,99,16,6.9,14.3,22.2,,,,,
9,16,21,10.7,,86,0,9,8.1,18.3,,,,,
10,17.1,23.2,11,,76,0,9.7,4.8,13,,,,,
11,18.1,23.7,13,,82,0,7.1,4.6,13,,,,,
12,18.2,24,14,,91,0,7.1,3.5,9.4,,,,,
13,20.4,24,17.4,,87,0,9.5,4.8,13,,,,,
14,18.9,21,17,,98,3.05,7.6,4.8,14.8,,,,,
15,20.9,24.2,18.2,,88,4.32,10.5,5.7,14.4,,,,,
16,19.7,25.8,16,,94,10.92,10,8.3,22.2,,,,,
17,19.2,22,16.4,,93,13.97,10.1,16.5,40.7,63,,,,
18,19.3,21.2,16.9,,98,55.88,7.7,19.1,31.3,,,,,
19,20.3,24.8,16,,86,0,10.5,10,18.3,,,,,
20,20.2,24,17.7,,87,8.13,10.9,16.7,27.8,,,,,
21,19.4,22,16.5,,92,29.97,10.5,15.4,31.3,48.2,,,,
22,18.3,21,16.2,,96,57.4,8.4,7.4,18,,,,,
23,18.4,21.1,15.8,,94,0,6.6,3.7,11.1,,,,,
24,18.4,24,15,,74,0,7.6,6.3,18,,,,,
25,17.9,23,14,,54,0,10,13.3,28.7,42.4,,,,
26,18.6,25.5,13,,62,0,10,9.1,18,,,,,
27,20.1,28,15,,59,0,9.8,7.2,21.7,,,,,
28,20.2,25,16.3,,85,0,10,8,14.8,,,,,
29,20.7,24,17.8,,93,0,10,9.1,18.3,,,,,
30,19.4,23,17.2,,96,19.05,6.3,4.8,18,,,,,
