Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,9.6,13,7,1037.4,80,0,15.9,11.5,16.5,,,,,
2,9.5,14,5,1033.9,73,0,19.2,9.8,14.8,,,,,
3,9.7,13,6,1030.5,74,0,14.2,14.4,18.3,,,,,
4,11.2,14,7,1028.7,76,0,17.5,17,24.1,,,,,
5,11.7,13,7,1028.3,81,0,14,14.4,20.6,,,,,
6,11.5,15,7,1029.2,67,0,15,5.6,11.1,,,,,
7,11.2,15,7,1029.1,67,0,24.9,7.2,11.1,,,,,
8,12.2,17,7,1029.1,56,0,24.1,8.5,18.3,,,,,
9,12.7,16,8,1029.1,73,0,23.3,9.1,11.1,,,,,
10,11.3,14,8,1023.8,76,0,14.5,21.3,42.4,,,,,
11,8.7,11,6,1020,54,0,27.5,30,42.4,,,,,
12,9.8,12,6,1020.7,59,0,24.9,29.6,35.2,,,,,
13,11.2,12,6,1022.9,64,0,24.1,44.8,50,,,,,
14,9,13,4,1031.9,62,0,24.9,23.5,33.5,,,,,
15,12.7,14,11,1032.8,78,0,22.5,28.2,33.5,,,,,
16,13.2,14,12,1029.3,81,0,21.7,22.2,27.8,,,,,
17,12.5,14,12,1027.8,78,0,24.9,24.6,29.4,,,,,
18,11,13,8,1029.3,78,0,24.9,25.2,33.5,,,,,
19,11.2,14,8,1030.9,85,0,22.5,18.1,22.2,,,,,
20,12.2,14,9,1030.5,85,0,13,19.4,24.1,,,,,
21,12.7,15,9,1028.6,82,0,16.6,15.4,18.3,,,,,
22,12.6,16,10,1024,80,0,19,5.9,9.4,,,,,
23,13.3,16,9,1022.2,77,0,21.7,8.3,14.8,,,,,
24,13.6,17,11,1023.5,77,0,15.9,8.9,14.8,,,,,
25,14.2,18,10,1023.8,53,0,17.5,8,18.3,,,,,
26,13.3,17,8,1026.7,63,0,14.8,9.8,18.3,,,,,
27,14.2,18,12,1029.9,67,0,17.5,9.8,18.3,,,,,
28,14.2,18,11,1029.6,61,0,12.6,10.2,18.3,,,,,
29,14.3,16,12,1026.9,69,0,10.1,4.6,9.4,,,,,
30,14.2,17,12,1025.4,79,0,13.4,11.3,18.3,,,,,
31,12.7,15,11,1028.5,72,4.06,20.8,15.2,29.4,,,,,
