Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.8,26,21.8,,86,0,10.8,18.3,22.2,28.7,,,,
2,23.7,26,22,,84,0,10.6,19.8,25.9,32.4,,,,
3,22.7,26,20.5,,72,0,10.8,18,22.2,28.7,,,,
4,22.8,26,20.8,,83,0,13.2,12.8,18.3,21.7,,,,
5,23.8,26,21.8,,82,0,10.8,16.9,24.1,32.4,,,,
6,24.2,26,22,,90,1.02,9.8,32,48.2,66.5,,,,
7,24.4,27,21,,90,0.76,8.5,26.9,37,43.2,,,,
8,22.4,25,20.2,,70,2.03,10,25.6,33.5,39.6,,,,
9,21.9,25.2,19,,72,0,10,10.6,20.6,25.2,,,,
10,21.1,23,19,,84,0.51,11.6,13.9,28.7,32.4,,,,
11,22.8,25.2,21,,87,5.08,9.5,21.9,35.9,43.2,,,,
12,22.5,26.1,20,,77,0,10.6,15,25.2,35.9,,,,
13,22.3,27,18,,74,0,13,10.4,22.2,44.6,,,,
14,22.1,26.1,18,,77,0,10,10.2,14.8,21.7,,,,
15,22.1,27,18,,76,0,13,8.7,20.6,28.7,,,,
16,22.6,26,19,,79,0,13,10,16.5,21.7,,,,
17,24.4,27,22.5,,82,0,13,19.8,25.9,32.4,,,,
18,22.2,25,19,,88,4.06,9.7,16.7,35.9,59.4,,,,
19,22.1,24,19,,92,25.91,9,14.1,35.9,61.1,,,,
20,23.6,26,21.5,,89,10.92,10,10.2,14.8,,,,,
21,23.9,27.2,22,,87,0.51,10.3,17.8,35.2,,,,,
22,23.1,26.2,22,,93,2.03,10,27.4,35.9,43.2,,,,
23,23.9,27,22,,89,2.03,9.8,16.7,25.2,32.4,,,,
24,24.2,27.6,22.5,,89,0,10.8,16.1,25.9,32.4,,,,
25,23.7,27,21,,81,1.02,10.8,12.8,21.7,,,,,
26,22.2,25,19,,78,0,10.5,9.8,18,25.2,,,,
27,21.9,25.5,18,,73,0,12.1,9.4,14.8,21.7,,,,
28,23.7,26,21,,77,7.11,11.6,9.8,18.3,25.2,,,,
29,22.6,26,20,,87,7.11,10.8,9.1,24.1,25.2,,,,
30,23.5,26,21,,80,0,13.8,8.1,14.8,18,,,,
31,23.6,26.6,20,,81,0,13,10.2,18.3,32.4,,,,
