Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,15.8,18,14,,66,0,11.3,18.3,22.2,,,,,
3,15,19.2,7,,60,0,11.6,10,18.3,,,,,
4,16.1,20,10,,64,0,10.3,15,22.2,,,,,
5,15.8,20,12,,74,0,13,8.9,14.8,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,18.5,25,7,,65,0,10.1,4.3,13,,,,,
9,16.4,20.4,8,,63,0,12.9,7.6,18.3,,,,,
10,15.2,18.2,9,,58,0,11.4,14.1,22.2,,,,,
11,15.1,17,11.2,,45,0,11.9,13.3,18.3,,,,,
12,11.8,15,6,,54,0,11.9,13.3,22.2,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,12.3,17.4,6,,66,0,10.1,10,20.6,,,,,
16,12.7,17,7,,57,0,11.9,12.6,18.3,,,,,
17,10.9,16,2,,65,0,7.2,3.7,11.1,,,,,
18,9.2,16,2,,73,0,6,5,11.1,,,,,
19,13.7,15.6,9,,78,0,10.6,13.5,22.2,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,10.7,13.8,3.6,,56,0,10,7.8,11.1,,,,,
23,8.2,14,0,,68,0,6.6,4.3,13,,,,,
24,9.9,15,1,,67,0,8.2,8.7,13,,,,,
25,9.7,15.4,-1,,65,0,7.7,8.9,13,,,,,
26,11,15.2,3,,70,0,9,9.1,14.8,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,10.7,12,10,,93,10.92,3.1,1.9,5.4,,,,,
30,14.5,17,12,,72,0,9.5,16.1,24.1,,,,,
