Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,7.8,14.2,2.7,1033.8,63,0,,1.1,3.5,,,,,
2,5.9,12.1,2.1,1032.5,78,0,18,2,7.2,,,,,
3,4.4,9.7,0.6,1031,69,0,18.8,3.9,7.2,,,,,
4,5,11.2,1.2,1033.2,51,0,19.6,1.9,10.7,,,,,
5,5.3,12.6,0.5,1036.5,50,0,,0.9,3.5,,,,,
6,5.7,12,1.5,1035.4,52,0,,1.1,7.2,,,,,
7,6.3,12.6,1.7,1034,46,0,19.5,0.6,3.5,,,,,
8,5.3,10.5,1,1033.4,61,0,18.3,2,3.5,,,,,
9,6.1,11.6,2.2,1027.1,70,0,18.7,2,7.2,,,,,
10,4.6,8.2,1.5,1025.3,70,0,20,6.7,10.7,25.2,,,,
11,3.2,7.6,-0.7,1031.3,62,0,20,5.9,7.2,21.7,,,,
12,4.4,9.5,0.7,1033.7,72,0,,5.2,10.7,18,,,,
13,5.2,10,1.7,1032.3,76,0,,3.7,10.7,18,,,,
14,6.4,12.5,2,1026.7,74,0,18.5,1.3,7.2,,,,,
15,4.8,10.5,0.7,1023.3,82,0,18.3,2.8,7.2,,,,,
16,2.7,4.7,0.4,1021.3,97,0.51,0.3,0.7,3.5,,,,,
17,4.4,9.7,1,1022.4,85,0,2.3,3.3,10.7,21.7,,,,
18,2.5,4.2,0.4,1022.5,89,0.25,8.7,1.3,3.5,,,,,
19,6,10.1,2.6,1014.2,97,2.03,,3.5,10.7,28.7,,,,
20,7.8,10.5,6,1018.9,70,13.97,,11.5,21.7,39.6,,,,
21,6.3,11.6,2.7,1025,70,0,20,4.8,10.7,21.7,,,,
22,6,9,2.7,1021.6,84,0.25,2.6,7.4,14.4,32.4,,,,
23,9.2,10.7,6.5,1016.9,85,2.03,17.4,10.4,18,39.6,,,,
24,11.2,15,9,1017.9,75,0,20,11.7,28.7,43.2,,,,
25,9.4,15.7,5.1,1022.1,71,0,20,5.4,18,28.7,,,,
26,8.1,14.1,3.5,1022.2,76,0,,2.8,10.7,21.7,,,,
27,7.3,10.7,4.6,1022.4,73,0,,10.2,18,35.9,,,,
28,7.7,10,4,1023.7,84,0.51,8.5,8.7,21.7,43.2,,,,
29,7.6,10.2,5.1,1018.7,84,1.02,5.5,13.5,32.4,53.9,,,,
30,7.1,10.7,3.7,1012.6,88,11.94,5.8,9.1,14.4,39.6,,,,
31,10.1,11,7.2,1000.9,94,30.99,3.5,14.4,21.7,43.2,,,,
