Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,6.6,9.2,5.5,995.3,76,0.25,26.2,37.6,50,,,,,
2,7.1,8.5,4.9,1000.7,89,0.25,21.9,21.5,33.5,,,,,
3,7.8,9.8,6.3,1005.6,87,3.05,23,29.3,35.2,,,,,
4,8.1,10,6.9,999.5,90,0,11.7,40.6,57.2,,,,,
5,7.7,9.4,5.7,996.9,81,13.97,12.2,61.3,81.3,,,,,
6,9.1,9.5,8,984.8,94,0,7.1,63,74.1,,,,,
7,7.8,10,7.3,1008.8,90,0,18.5,15.2,22.2,,,,,
8,7.5,9.1,5.7,1019.5,90,0,16.9,31.1,57.2,,,,,
9,7.8,10,6.3,1027.5,78,5.08,20,31.5,46.5,,,,,
10,8.7,10.3,7.5,1033.5,95,0,9.5,40.2,57.2,,,,,
11,9.1,10,8.3,1024.2,94,0,8.7,43.9,50,,,,,
12,8.5,10.1,6.7,1022.4,87,0.76,18.8,32.4,53.5,,,,,
13,7.9,10,6.7,1030.8,91,0,17.1,22,29.4,,,,,
14,8,9.9,6.2,1035.1,99,0.25,9.7,15.6,31.3,,,,,
15,8.1,9.2,5.4,1028.6,95,0.25,13.5,29.8,42.4,,,,,
16,7,8.7,4,1028.1,86,1.52,23.2,29.4,48.2,,,,,
17,9.2,10.6,8.6,1021.6,92,0,11.9,39.1,63,,,,,
18,5.5,9.4,3.2,1004.6,69,0,22.7,56.7,63,,,,,
19,4.9,6.5,2.6,1005.3,73,1.02,21.2,56.9,64.8,,,,,
20,4.1,5.7,2.5,1020.4,52,0,36.2,44.3,61.1,,,,,
21,3.4,6.1,-0.2,1022.7,64,0.25,40.4,13.9,29.4,,,,,
22,7.7,9.3,4.3,1020.2,99,7.11,8.7,19.8,31.3,,,,,
23,7.2,9.3,4.4,1021.7,84,0.25,24.1,17.4,25.9,,,,,
24,6.4,9.8,3.2,1024,79,0,10.8,20.6,33.5,,,,,
25,8.1,11.9,4,1022.1,80,0,8,22.6,33.5,,,,,
26,8.9,12.9,5.8,1021.5,76,0,7.9,13.5,25.9,,,,,
27,9.1,12.6,7.1,1017.6,79,0,5.3,13,18.3,,,,,
28,7,8.3,5.2,1017.7,99,0.25,6.8,21.1,33.5,,,,,
29,5.8,8.5,3.9,1015.1,86,0.76,31.9,20.7,27.8,,,,,
30,7.4,9.5,4.7,1017,92,0.51,4.7,23.5,33.5,,,,,
31,8.3,11.5,5.3,1027.8,82,0,7.4,33,44.3,,,,,
