Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-5.7,-2.8,-7.2,972.7,86,,12.9,9.3,14.8,,,,,
2,-5.4,-1.1,-8.9,982.8,83,,8,32.2,55.4,,,,,
3,-1,0,-2.8,979.6,97,,1.6,47.2,66.5,,,,,
4,-1.9,0,-3.9,975,94,,7.9,33.2,77.8,,,,,
5,-2.2,-1.1,-3.9,989.2,93,,18.2,17.6,33.5,,,,,
6,-4.1,-2.2,-7.8,968.8,90,,28,4.3,14.8,,,,,
7,-1.3,0,-2.8,974.4,88,,12.1,15.6,22.2,,,,,
8,-2.7,-1.1,-3.9,976.7,88,,10.8,19.8,46.5,,,,,
9,-5,-2.2,-7.8,993.1,90,0,28.3,10.4,33.5,,,,,
10,-0.8,1.1,-2.2,989,98,,7.4,44.8,64.8,,,,,
11,-7,-2.2,-12.2,990.4,88,,26.7,14.3,22.2,,,,,
12,-7.2,-2.8,-12.2,991.6,86,0,19.8,28,59.4,,,,,
13,-2.2,-1.1,-3.9,980.3,97,,12.6,48.2,68.3,,,,,
14,-0.8,0,-2.8,965.2,96,,14.2,55.6,83.2,,,,,
15,-1.4,-1.1,-2.2,985.9,91,,12.6,35.9,46.5,,,,,
16,-2.1,0,-6.1,980.2,91,,11.3,42.6,70.2,,,,,
17,-2.3,2.8,-10,992.8,89,0,15.9,26.3,40.7,,,,,
18,-2.2,0,-6.1,981.4,93,0,37,4.4,11.1,,,,,
19,-1.1,0,-2.2,983.3,91,,24.3,25,66.5,,,,,
20,-1.7,0,-2.8,975.1,93,,7.6,55.4,98.2,,,,,
21,-4.4,-2.8,-6.1,995.1,89,,26.6,8.5,22.2,,,,,
22,-3.8,2.2,-10,1006.5,89,,40.2,28.5,74.1,,,,,
23,0.6,1.1,-1.1,986.4,94,,11.4,55.9,83.2,,,,,
24,-0.8,0,-2.2,984.1,98,,2.7,56.1,68.3,,,,,
25,-2.8,-1.1,-6.1,968.8,93,,3.4,45.4,74.1,,,,,
26,-7.9,-2.8,-11.1,978.8,86,,13.4,8.5,20.6,,,,,
27,-8.1,-2.8,-13.9,977.9,85,,20.6,9.3,20.6,,,,,
28,-4.2,-1.1,-8.9,974.3,83,0,27.4,25.6,42.4,,,,,
29,-1.8,-1.1,-2.8,966.3,91,,9.7,36.7,55.4,,,,,
30,-4.7,-2.2,-7.8,964.5,85,,20.8,19.6,37,,,,,
31,-8.3,-7.2,-11.1,972.6,83,,17.2,7.8,14.8,,,,,
