Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,6.5,7.9,3.5,1017.1,76,1.02,,44.6,63,88.9,,,,
2,5.7,8,2.8,1019,88,1.02,,22.6,59.1,87,,,,
3,7.2,7.7,5,1013.2,71,0,,57,81.3,111.1,,,,
4,5.9,6.8,3.7,1005.6,84,4.06,,48.2,79.5,114.8,,,,
5,6.1,7.9,4.5,990.8,80,7.11,,60.4,79.5,124.1,,,,
6,5.3,6.3,3.9,1003,76,7.11,,45.2,84.8,116.5,,,,
7,6.3,7.5,2.8,995.9,86,10.92,,46.7,68.3,105.4,,,,
8,3.4,4.5,1.4,992.8,71,1.02,,53.5,72,109.5,,,,
9,4.3,5.9,1,985.1,87,3.05,,39.3,50,87,,,,
10,3.4,6.4,0.5,973.1,81,16,,43.9,74.1,101.9,,,,
11,1.2,3.4,-0.3,956.9,81,1.02,,55.4,64.8,103.5,,,,
12,3.8,4.9,0.1,964.1,75,7.11,,45.7,55.4,94.6,,,,
13,2.7,5.1,0.8,981.7,87,4.06,,36.9,51.9,85.2,,,,
14,2.8,4.9,0.6,991.4,84,9.91,,28.3,48.2,74.1,,,,
15,5.4,7.4,1.4,977.9,89,13.97,,49.1,61.1,90.7,,,,
16,5.3,7.3,2.3,986.1,76,7.11,,44.8,88.9,114.8,,,,
17,6.3,9,2.6,974.6,81,11.94,,61.9,101.9,135.2,,,,
18,3.6,4.9,1.5,999.5,79,3.05,,45.2,83.2,120.6,,,,
19,3.4,5.2,0.4,998.2,95,2.54,,25.4,42.4,63,,,,
20,6.3,8.1,3.7,981.8,91,4.06,,50.6,92.4,131.3,,,,
21,5.2,6.5,2.8,981.9,79,9.91,,49.8,66.5,114.8,,,,
22,2.9,5.7,0.6,981.9,80,7.87,,36.7,59.1,81.3,,,,
23,1.6,4.6,-0.6,994.8,83,1.02,,25.9,48.2,70.6,,,,
24,0.9,2.1,-1.8,980.4,86,5.08,,28.9,51.9,72.2,,,,
25,0,4.3,-5.7,1001.6,,2.03,,44.3,72,96.5,,,,
26,-0.2,0.9,-2.1,1006.1,90,0,,25.4,50,66.5,,,,
27,-0.4,1.7,-2.8,1014.4,,0,,21.9,42.4,,,,,
28,3.3,4.2,-2,1012,69,0,,30.2,40.7,,,,,
29,5.1,6.3,3,1016,87,0.51,,41.9,50,70.6,,,,
30,6.3,7,5.4,1008,90,0.51,,43.5,51.9,75.9,,,,
31,5.7,7.2,2.8,1022.7,79,1.02,,43.3,48.2,70.6,,,,
