Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,-10,,,986.3,,0,26.2,5,24.1,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,-3.8,,-10,984.1,,,29.9,9.4,9.4,,,,,
10,,,,,,,,,,,,,,
11,28.3,30,20,987.9,,,20.4,3.5,3.5,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,-10,,,983.5,,0,34,26.3,35.2,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,5,20,-10,986.5,,,33.8,26.9,35.2,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,5,20,-10,985.2,,,33.8,27.4,44.6,,,,,
29,30,,,986.2,,0,34.9,44.8,55.4,,,,,
30,-10,,,982.3,,0,34.9,32.4,44.6,,,,,
31,3.3,,-10,984.2,,0,28.5,17.4,35.2,,,,,
