Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,2.9,6.1,0.5,1011.4,90,0,4.5,7.4,14.8,,,,,
2,3.3,7.4,0.3,1015.2,92,0.25,2.9,11.3,14.8,,,,,
3,1.4,5,-3,1023.0,94,0,4,10.7,14.8,,,,,
4,6.6,8.5,4.2,1029.4,93,0.51,5.6,9.6,13,,,,,
5,7.4,10.2,5.5,1030.3,93,0,7.6,8.3,13,,,,,
6,8.3,10.3,4.7,1028.4,85,0,14,13.5,22.2,,,,,
7,6.9,8.5,4.8,1030.3,93,0,4.2,4.4,13,,,,,
8,7.9,9.2,7.2,1031.9,96,0.25,1.6,2.8,9.4,,,,,
9,5.3,7.5,2.3,1026.7,89,0,5.8,8.9,16.5,,,,,
10,3.3,4.6,1.3,1024.6,87,0,4,10.4,20.6,,,,,
11,5.4,10,1.2,1029.4,91,0,2.9,5.2,14.8,,,,,
12,5.8,6.7,3.5,1029.7,90,0,6.4,15.7,24.1,,,,,
13,2.3,3.3,1.4,1028.8,88,0,3.9,9.6,14.8,,,,,
14,7.2,10,1.8,1023.7,85,0,6.3,18.3,24.1,,,,,
15,9.9,11.3,8.8,1017.5,87,0,6.8,16.5,24.1,,,,,
16,8.8,11,6.5,1003.7,81,0.25,13.7,25.2,37,,,,,
17,5.2,6.3,3.1,999.1,80,1.78,18.5,23.2,38.9,,,,,
18,3.7,6.6,1.1,1008.7,83,3.81,20.6,14.8,22.2,,,,,
19,1.8,5.5,-1.5,1013.8,79,0,19.8,16.5,24.1,,,,,
20,0.8,4,-3.4,1019.9,85,0,14.6,11.9,24.1,,,,,
21,1.8,4.6,-0.4,1024.0,93,1.02,3.1,10,16.5,,,,,
22,8.3,11.9,-0.3,1013.6,87,5.33,19.2,23,29.4,,,,,
23,10.9,12.4,10.1,1007.9,71,1.02,23.8,29.4,40.7,,,,,
24,7.4,10,3.8,999.1,73,0,21.9,25.4,44.3,,,,,
25,1.2,3.4,-2,995.9,80,0.76,23.3,14.4,20.6,,,,,
26,0.1,3.2,-2.5,1010.9,85,0,15.4,15.6,22.2,,,,,
27,1.1,6.1,-2.6,1016.9,90,0.25,14.2,16.5,33.5,,,,,
28,4.1,6.9,1.8,1008.3,93,9.4,20.1,25.9,35.2,,,,,
29,5.1,8,1.7,1025.0,95,0,16.3,17,22.2,,,,,
30,9.8,12.1,7,1025.5,89,0,14.3,16.9,22.2,,,,,
31,8.2,11.5,4.7,1022.9,87,0,15.1,18,29.4,,,,,
