Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,6.4,7,6,994.6,98,,15.9,45.7,51.9,,,,,
2,6.5,7,6,987.3,94,,21.6,36.1,51.9,,,,,
3,6.2,7,5,1001,90,0,29.9,41.5,55.4,,,,,
4,4.2,6,3,1000.9,93,,26.6,16.9,31.7,,,,,
5,3.5,5,3,988.9,94,0,22.7,26.1,37,,,,,
6,3.8,5,2,976.4,94,,19.3,28.5,55.4,,,,,
7,3.6,5,3,999.4,76,,29.9,40.4,64.8,,,,,
8,3.6,7,2,994.7,93,,20.1,31.5,55.4,,,,,
9,6.9,7,6,985.1,95,0,25.9,31.5,51.9,,,,,
10,7.3,9,6,980.6,96,,23.5,41.9,55.4,,,,,
11,6.2,8,4,967.4,97,,20.9,27.8,61.1,,,,,
12,5.2,6,4,977.4,91,,23.2,45.9,66.5,,,,,
13,3.7,4,3,994.2,98,,22.2,12.6,22.2,,,,,
14,3.1,5,2,998.1,99,,23.8,18.9,63,,,,,
15,6.4,7,5,982.2,99,,16.9,42.8,68.3,,,,,
16,6.7,7,6,993.2,100,0,13.4,25.7,40.7,,,,,
17,6.1,7,6,1014.9,97,0,19.3,18.9,31.7,,,,,
18,5.7,6,5,1019.3,99,0,3.7,22.2,29.4,,,,,
19,5.4,6,5,1021.6,98,0,12.4,4.6,16.5,,,,,
20,5.6,9,4,1018.1,98,,20.6,26.9,40.7,,,,,
21,8.8,10,8,1013.8,94,0,29.8,39.6,51.9,,,,,
22,6.2,8,5,1010.5,88,,34,36.9,50,,,,,
23,6.4,9,5,1026.4,88,0,40.4,22.8,35.2,,,,,
24,6.3,7,6,1031.3,99,0,24.9,15.9,33.5,,,,,
25,7.5,9,6,1030.4,98,0,15.8,20.6,33.5,,,,,
26,6.7,9,6,1033.1,98,0,9.5,3,14.8,,,,,
27,5.2,6,4,1030,93,0,10.9,22.4,44.6,,,,,
28,3.5,4,3,1011.4,87,,18.7,42.4,51.9,,,,,
