Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,16.3,18.5,14.2,,87,,6.6,2.4,3.5,,,,,
2,16.1,18.2,13.4,,82,,15.6,4.3,14.8,,,,,
3,16.8,18.4,15.5,,82,,8.5,12.6,16.5,,,,,
4,18.6,23,15,,67,0,22.7,5.6,14.8,,,,,
5,19.7,24.4,15,,68,0,24.3,3.7,7.6,,,,,
6,16.4,22.7,13,,80,0,17.9,5.2,14.8,,,,,
7,20,25.2,15.1,,75,0,10.8,3.3,9.4,,,,,
8,23.1,28.1,17.5,,66,0,19.8,0.6,3.5,,,,,
9,20.3,24.1,16.6,,75,0,10,10.2,14.8,,,,,
10,22.8,26.5,18,,75,0,3.4,3.7,7.6,,,,,
11,24.1,28.4,19,,61,0,6.4,3.7,7.6,,,,,
12,19.2,22.5,15.6,,66,0,20.8,6.1,7.6,,,,,
13,17.6,20,14,,69,0,20.9,4.4,7.6,,,,,
14,19.8,22.5,15.2,,75,0,24.3,7.4,14.8,,,,,
15,17.7,19.4,17,,82,,9.3,3.7,7.6,,,,,
16,,,,,,,,,,,,,,
17,18.1,20.6,14,,79,0,15.8,9.8,14.8,,,,,
18,18.2,20.5,14.4,,65,0,14.6,2.8,9.4,,,,,
19,18.2,21.9,14,,73,0,12.6,6.3,14.8,,,,,
20,16.8,18.5,13.4,,81,0,8.5,13.9,22.2,,,,,
21,18.7,22.2,14.7,,72,,13.5,7.2,14.8,,,,,
22,15.9,19.3,12,,71,0,20,2.8,7.6,,,,,
23,15.2,17.1,12.4,,88,,14.2,9.6,22.2,,,,,
24,15.9,19.1,12.1,,76,0,22.9,5,14.8,,,,,
25,16.7,20.4,11.2,,73,,19.3,9.1,14.8,,,,,
26,15.4,18,13,,85,,8.9,3.3,9.4,,,,,
27,14.3,18,9,,61,0,22.9,7.8,14.8,,,,,
28,14.7,17.8,11.5,,72,0,19.2,3.1,7.6,,,,,
29,16.1,19.6,11.5,,75,0,9.3,1.3,7.6,,,,,
30,16.6,20.5,13.3,,80,0,11.9,4.3,14.8,,,,,
31,16.7,18.9,12.2,,78,0,5.3,5,14.8,,,,,
