Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,5.6,8.3,2,,86,1.52,12.2,23,35.2,50,,,,
2,2.9,5.2,1.5,,87,0.51,12.2,24.3,33.5,51.9,,,,
3,5.2,12,2,,88,7.11,10.5,39.1,72.2,101.9,,,,
4,5.9,9.6,1.9,,91,11.94,10.5,34.6,61.1,92.4,,,,
5,6.5,8.4,4.6,,83,9.14,10.8,32,55.4,90.7,,,,
6,6.4,9.1,3.4,,95,0.51,11.6,18.5,33.5,,,,,
7,6.7,7.9,5,,85,0.51,11.4,22.8,37,46.5,,,,
8,8.3,10.1,6.5,,93,1.52,11.3,17.4,22.2,,,,,
9,7.2,9,4.7,,87,0.76,12.6,16.9,27.8,,,,,
10,7.6,10.3,3.2,,92,0,11.1,15.4,24.1,,,,,
11,9.2,10.1,7.2,,97,0.51,9.3,19.3,29.4,,,,,
12,6.7,10.1,1,,88,0,11.1,19.3,50,64.8,,,,
13,2.6,8.2,-2,,94,0,10.3,5.4,11.1,,,,,
14,4.2,6.5,0,,86,0,10.9,10.2,22.2,,,,,
15,4.6,6.2,3,,79,0,11.3,12,25.9,,,,,
16,3.1,6.2,-1,,84,0,11.1,10.6,22.2,,,,,
17,7.6,10,3.4,,87,0,11.9,15.7,29.4,,,,,
18,7.8,10.5,6,,90,0.51,10.9,18.3,27.8,,,,,
19,4.6,6.2,3,,89,1.02,11.7,23.9,37,64.8,,,,
20,7.2,10,3,,94,10.16,10.5,22.4,40.7,55.4,,,,
21,6.6,9.4,5,,84,1.52,10.9,30.9,48.2,72.2,,,,
22,6.4,9.1,4,,82,0.51,10.6,24.6,40.7,61.1,,,,
23,3.6,6.3,2,,91,0,11.1,13.5,22.2,,,,,
24,7.9,10.3,2.3,,97,4.57,9.3,14.4,24.1,,,,,
25,8.1,10.6,2,,88,3.56,12.6,23.5,40.7,63,,,,
26,2.7,4.4,1,,93,4.06,12.7,19.1,27.8,,,,,
27,3.2,6.9,-1,,89,4.06,11.9,18.5,33.5,48.2,,,,
28,2.2,5.1,-2,,92,0,10.8,6.5,14.8,,,,,
29,4.8,7,3,,95,8.13,10.5,15.7,31.3,44.3,,,,
30,3.2,5.2,2,,84,1.52,12.1,18,31.3,46.5,,,,
31,2,3.3,0,,79,0,10.6,13.7,22.2,,,,,
