Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,13.8,18,10,,71,0,10,13.3,24.1,,,,,
2,12.9,17,9,,81,,9.5,7.8,11.1,,,,,
3,15.2,18,12,,83,,9.2,9.4,16.5,,,,,
4,15.9,20,11,,79,,9.3,12.6,25.9,,,,,
5,14.9,16,14,,93,,8.4,20.4,29.4,51.9,,,,
6,15.6,18,14,,93,,8,7.6,18.3,,,,,
7,16.1,20,14,,87,,9,8.1,16.5,,,,,
8,15.9,18,13,,82,,9.2,17,25.9,,,,,
9,15.1,18,13,,85,,10,10.4,20.6,,,,,
10,15.4,17,13,,78,,10,8.3,13,,,,,
11,16,20,13,,81,,9.5,13.3,38.9,,,,,
12,15.1,20,10,,71,0,10,20.4,38.9,59.4,,,,
13,15.4,19,13,,72,,10,22,35.2,40.7,,,,
14,14.8,19,11,,76,,10,12,20.6,,,,,
15,14.6,17,12,,78,,9.8,12.8,22.2,,,,,
16,14.1,15,13,,79,,9.8,14.8,18.3,,,,,
17,15.3,17,14,,85,,9.5,14.4,22.2,,,,,
18,15.1,18,14,,84,,10,9.4,14.8,,,,,
19,14.4,16,13,,87,,9.7,6.3,13,,,,,
20,15.8,19,14,,91,,8.9,13.5,27.8,,,,,
21,15.9,17,14,,93,,9.2,11.1,20.6,,,,,
22,16.1,19,12,,87,,9.2,6.3,13,,,,,
23,14.4,20,11,,92,0,6,7.2,16.5,,,,,
24,16.6,22,12,,87,0,6.8,6.3,14.8,,,,,
25,18.8,24,14,,76,0,9.8,6.3,11.1,,,,,
26,15.1,19,13,,91,,7.1,7,13,,,,,
27,15.1,19,11,,86,,8.7,6.9,13,18.3,,,,
28,16.2,22,11,,78,,9.8,7.6,18.3,,,,,
29,15.3,17,14,,83,0,10,9.6,18.3,,,,,
30,14.9,17,13,,77,,10,10.4,20.6,22.2,,,,
31,14.5,16,13,,68,0,10,11.7,20.6,25.9,,,,
