Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,10.7,12.9,0,993.6,94,52.07,11.1,30.7,57.2,83.5,,,,
2,8.7,10.9,0,989.6,84,0,19,28.9,44.3,59.4,,,,
3,7.5,11.2,4.6,980.4,92,5.08,15.1,20.4,35.2,,,,,
4,6.3,10.6,3.7,979.2,93,0,17.5,12.4,20.6,,,,,
5,8.3,10.8,4.7,990.6,90,0,15.8,11.3,16.5,,,,,
6,6.1,9.1,2.4,994.6,92,1.02,13.5,16.1,35.2,,,,,
7,5.3,9.1,1.3,990.4,90,0.51,17.4,11.3,20.6,,,,,
8,7.2,9.7,5.3,1009.1,91,18.03,14.5,10.9,16.5,,,,,
9,6.6,10.2,4.7,1018.7,92,0,16.7,12.4,18.3,,,,,
10,5.7,8.5,3.4,1011.3,93,0,11.4,8.3,16.5,,,,,
11,7.3,9.8,4.6,1006.2,93,3.05,10.5,11.3,22.2,,,,,
12,8.9,10.8,4.1,995.3,94,6.1,7.6,25.6,40.7,,,,,
13,7.9,10.7,5.4,993.9,92,2.03,10.8,13.3,31.3,,,,,
14,9.9,12.2,6.7,983.2,86,17.02,11.7,25.4,38.9,,,,,
15,6.7,10.4,4.2,998.8,91,0,11.1,14.6,22.2,,,,,
16,7.9,10.3,4.4,994,95,0,6.9,23,44.3,,,,,
17,8.8,10.5,6.6,993.9,84,7.87,16.6,32,46.5,70.6,,,,
18,7.7,12.1,5.1,997.3,88,10.92,16.3,20.7,31.3,,,,,
19,13.7,15.3,7.8,995.8,83,0.51,19.5,34.6,48.2,77.8,,,,
20,11.2,13.6,6.6,1001.3,82,0,17.9,26.5,35.2,50,,,,
21,8.6,12.9,4.5,1007.3,94,4.06,11.1,20.9,38.9,,,,,
22,8.6,10.2,7.6,987.2,83,0.76,16.3,31.9,55.4,85.2,,,,
23,9,10.9,7.6,985.8,79,0.51,23,31.9,61.1,87,,,,
24,9.3,12.7,6.2,992.1,90,3.05,14.6,22,33.5,,,,,
25,7.6,9.9,5.2,983.2,77,0.51,15.3,38.3,61.1,92.4,,,,
26,6.3,7.9,4.1,988.2,87,0,25.7,25.9,38.9,57.6,,,,
27,5.9,8.7,3.9,989.7,79,0,37.2,23.7,37,,,,,
28,4.4,7.4,1.7,991.7,88,0.51,27.4,11.5,16.5,,,,,
29,7.3,8.1,3.3,991.7,79,3.05,19,38.9,51.9,72.2,,,,
30,4.4,6.3,2.3,1004.2,79,7.11,20.6,27.6,37,63,,,,
