Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,3,5,0.5,1028.5,88,0,4.7,9.3,14.8,,,,,
2,4.3,6.5,2.9,1023.9,91,0,5.3,5.9,11.1,,,,,
3,5.5,7,2.1,1029.3,97,1.52,3.1,2.8,3.5,,,,,
4,6.9,8.6,5.3,1030.6,86,0.51,6.6,15.4,29.4,,,,,
5,8.4,10.4,5.8,1026.3,93,5.08,8.2,13.9,31.3,,,,,
6,3.3,7,0.6,1022.5,92,2.03,8.4,9.3,14.8,,,,,
7,7.8,13,0.5,1013.1,92,14.99,6.6,23.5,47.8,75.9,,,,
8,7,9.3,5,998,80,23.88,14.6,24.1,33.5,49.6,,,,
9,8.6,12,5,991.7,89,26.92,12.6,26.1,53.5,87,,,,
10,5.5,8.5,0.6,987.7,83,6.1,15.3,19.4,33.5,55.4,,,,
11,2.6,7.8,-0.1,998,94,0.25,15.1,8,16.5,,,,,
12,4.2,8.1,1,990.3,94,6.1,7.6,9.1,20.6,,,,,
13,2.8,6.2,-1.9,1000.3,91,0.25,8,12.8,22.2,,,,,
14,3.5,10.3,-4,1016.1,94,1.02,4.2,12.6,33.5,,,,,
15,12,13,9.6,1003.6,88,2.03,13.5,32,63,83.5,,,,
16,6.9,11.5,2,1002.1,77,0.25,16.4,23.5,38.9,,,,,
17,2.3,5.3,-1,995,87,2.29,16.3,12.6,22.2,,,,,
18,0.3,4,-3,1000.4,86,0,17.1,14.1,27.8,,,,,
19,7.7,12,-3,1002.6,88,12.95,12.4,37,51.9,87,,,,
20,5.9,8.2,4,984.1,71,1.02,16.6,34.3,46.5,68.3,,,,
21,5.4,8,2.2,987.7,78,0,18.2,27,40.7,46.1,,,,
22,0.6,3.5,-3,1006.1,88,0,17.2,12.2,22.2,,,,,
23,0,6.7,-6,1017.2,,0.25,7.6,7.6,27.8,,,,,
24,8.4,11.1,5.2,1018.3,96,6.1,8.9,10.4,33.5,,,,,
25,9.1,10.9,5.7,1026.4,92,0,20.1,11.3,16.5,,,,,
26,9.3,10.6,8.3,1028,90,0,22.4,17.6,27.8,,,,,
27,7.6,10.3,1.6,1026.5,87,0,18.7,13.9,25.9,,,,,
28,1.7,8.2,-3,1032.8,90,0,12.9,5.6,13,,,,,
29,3.4,8.1,-1.9,1035.7,85,0,7.7,4.3,9.4,,,,,
30,5.6,8.3,4,1035.4,82,0,14,6.5,16.5,,,,,
31,7.1,9.1,3.5,1032.3,85,0,11.1,12.8,22.2,,,,,
