Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,21.7,29,14,,67,0,10,17.6,29.4,,,,,
2,14.8,17,12,,88,,8.9,10,29.4,,,,,
3,18.1,24,9,,68,0,10,17.4,29.4,,,,,
4,18,21,13,,72,0,9.7,17.2,27.8,,,,,
5,14.1,19,10,,81,,10,15.2,35.2,,,,,
6,14.5,18,10,,82,,10,17.4,27.8,44.6,,,,
7,15.2,18,12,,83,,9,26.7,46.5,,,,,
8,14.2,17,12,,79,,9.2,28.7,38.9,59.4,,,,
9,15.1,19,11,,69,0,10,12.6,18.3,,,,,
10,16.7,23,11,,66,,10,13,24.1,,,,,
11,16,19,13,,75,0,10,22,33.5,40.7,,,,
12,15.1,17,13,,94,,7.6,20,29.4,,,,,
13,15.8,17,15,,96,,6,20.2,37,48.2,,,,
14,16.1,20,14,,93,,6.8,13.5,22.2,,,,,
15,15.8,18,12,,81,,7.1,12.6,24.1,,,,,
16,16.5,22,11,,80,,9.8,15.6,22.2,,,,,
17,15.7,18,12,,82,,9.2,21.7,33.5,,,,,
18,14.6,19,11,,75,0,10,12.6,22.2,,,,,
19,14.9,19,12,,65,0,10,16.1,29.4,,,,,
20,16,20,13,,86,,9.3,15.4,37,,,,,
21,15.9,20,12,,78,0,10,20,31.7,,,,,
22,14.9,18,12,,80,,10,19.3,31.7,,,,,
23,13.9,17,11,,80,0,10,10.9,18.3,,,,,
24,11.9,13,11,,96,,6.6,17.2,27.8,,,,,
25,13.4,17,10,,74,,9.3,17.8,29.4,,,,,
26,12.9,16,11,,88,,8.2,19.8,31.7,44.6,,,,
27,13.9,15,13,,89,,8.2,31.1,40.7,61.1,,,,
28,13.1,16,11,,77,0,10,29.1,37,,,,,
29,12.2,16,9,,77,,10,19.6,29.4,,,,,
30,12.9,17,9,,69,,10,14.1,25.9,,,,,
31,13,18,6,,69,0,10,10.9,18.3,,,,,
