Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,6.1,8.6,4.2,990,78,3.3,23.7,22.8,37,75.9,,,,
2,5.9,7.2,4.1,994.1,74,6.35,27.8,21.7,29.4,51.9,,,,
3,6.3,8.7,3.9,1005.8,73,1.52,24.1,15.4,22.2,35.2,,,,
4,8.1,10.5,4.9,1004,94,0.76,9.3,18.5,29.4,48.2,,,,
5,6.3,7.5,4,997.8,86,6.35,18.3,22.2,40.7,59.4,,,,
6,7,8.5,3.6,1008.8,74,4.57,21.7,26.7,38.9,61.1,,,,
7,9.9,12.5,7.3,1015.4,89,1.78,10,27,46.5,68.3,,,,
8,8.7,10.2,6.2,1008.4,81,6.6,16.1,30.6,44.3,64.8,,,,
9,8.7,10.7,6.6,1015,87,3.3,9,28.2,38.9,63,,,,
10,11.3,12,10.4,1010.3,97,6.35,3.5,30.7,35.2,61.1,,,,
11,10.2,12.1,7.5,1011,87,1.52,19.2,29.6,38.9,66.5,,,,
12,7.1,9,4.8,1015.1,68,0.51,19,33,44.3,74.1,,,,
13,7.7,9,5.7,1018.3,82,0.76,16.1,20.6,33.5,51.9,,,,
14,9.1,10.2,7.7,1013.2,89,11.68,11.7,25.9,35.2,66.5,,,,
15,8.1,9.7,6.7,1008.8,86,13.72,18.8,19.1,38.9,57.2,,,,
16,7.6,10,3.2,1023.3,70,5.33,27.2,13.5,20.6,,,,,
17,9.6,10.6,6.8,1027.4,91,0,11.6,25.7,31.3,57.2,,,,
18,9.8,11.5,7.6,1025.2,95,0.51,8.2,20.9,31.3,51.9,,,,
19,8.4,11.4,6.5,1023.8,92,2.54,8.9,10.4,20.6,,,,,
20,7.5,10,5.2,1024.5,71,1.78,19,24.3,51.9,81.3,,,,
21,7.6,8.5,7,1019,76,0,13.7,47.2,55.4,85.2,,,,
22,7.4,10.5,5.3,1023.1,73,0,20.6,16.3,31.7,44.3,,,,
23,7.7,11.1,3.9,1022.6,75,0,22.4,17.2,33.5,50,,,,
24,9.6,13.5,6.4,1022.4,87,0,9.2,16.9,24.1,,,,,
25,8.8,12.5,5.2,1021.9,71,0,14.2,15.6,27.8,,,,,
26,7.7,12.5,3.6,1022.2,57,0,18.2,9.3,16.5,,,,,
27,6.8,10.2,2.9,1023.7,66,0,14.6,11.7,24.1,,,,,
28,7.1,11.2,2.8,1028.4,66,,20.1,20.6,35.2,51.9,,,,
29,5.3,8.2,2.2,1038.5,50,0,30.1,25.7,37,55.4,,,,
30,5.7,8.2,1.6,1036.1,63,0,34.1,22.8,31.3,46.5,,,,
31,7.2,10.5,4.5,1030.6,61,0,37,19.3,31.3,50,,,,
