Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,9.6,10.7,8.7,1031.2,83,1.02,21.4,38.2,46.5,,,,,
2,8.7,9,8.3,1030,81,0,22.5,23.5,37,,,,,
3,9.1,10.6,8.1,1025.6,74,0,33.8,10.9,14.8,,,,,
4,11.3,14.1,9.1,1017.6,72,0,24.9,19.1,27.8,,,,,
5,10.8,12.3,9.6,1011.1,76,2.03,25.7,35.7,55.4,,,,,
6,9.6,11.2,8.7,1007.6,79,3.05,17.5,54.6,74.1,,,,,
7,9.2,9.9,7.5,1015.7,83,7.11,20,27.6,55.4,,,,,
8,10.1,10.6,8.9,1020.6,92,1.27,16.3,35.2,46.5,,,,,
9,9.3,9.8,8.7,1022.6,81,0.51,26.2,21.3,33.5,,,,,
10,9.6,10.8,7.9,1017,91,5.08,15.1,40,51.9,,,,,
11,8.7,11.2,5.1,1013.6,90,4.57,15,15.9,37,,,,,
12,9.8,10.5,8.9,1006,79,7.11,14.8,49.3,61.1,,,,,
13,7.8,8.9,6.6,996.8,78,16,23.2,53,61.1,,,,,
14,8,10,6,1006.8,72,3.05,29.5,28,48.2,,,,,
15,8.5,11,5,1009.2,88,2.03,20,32.4,74.1,,,,,
16,11.4,12.7,10.5,1004.8,88,2.03,26.2,40,59.1,,,,,
17,11.8,13.2,10.4,1010.9,90,9.91,24.9,48.5,55.4,,,,,
18,11.1,12,10.3,1013.6,86,0,29.9,25.2,37,,,,,
19,10.9,12.8,9,997.7,79,0,33.8,15.6,42.4,,,,,
20,9.5,11.7,6.8,983.9,78,2.03,26.4,34.6,51.9,,,,,
21,7.2,9.3,5.7,980.5,82,18.03,24.9,39.4,70.2,,,,,
22,10.4,11.3,9,989.7,81,8.89,28.8,62.4,74.1,,,,,
23,9.3,11.3,8.3,1000.8,83,10.92,29.9,51.1,66.5,,,,,
24,8.8,10.5,7.3,997.4,84,12.95,16.3,68.5,83.2,,,,,
25,9.2,9.6,8.9,997.3,71,1.02,24.9,68,83.2,,,,,
26,8.2,9.4,7,1006.2,81,4.06,24.9,45,70.2,,,,,
27,7.3,8.2,6.1,1011.1,78,0,31.2,24.8,37,,,,,
28,8.5,10.8,6.7,993.8,96,19.05,17.5,45.7,59.1,,,,,
29,10.1,10.7,9.4,993.1,89,0.51,28.6,20.2,25.9,,,,,
30,9.9,11.1,8,1002.9,76,3.05,27.5,33.5,48.2,,,,,
31,9.1,10.8,7.9,1000.8,87,9.91,24.3,26.5,37,,,,,
