Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,14.7,19,11.7,1012.2,78,0,,13.7,24.1,,,,,
2,14.6,18.7,12.7,1009.3,86,11.43,,9.8,14.8,,,,,
3,15.6,19.1,11.1,1019.3,79,1.02,,4.8,11.1,,,,,
4,15.1,19.9,11.8,1021,77,0,,6.5,13,,,,,
5,17.2,23.7,9.8,1023.2,70,0,,5.2,13,,,,,
6,17.8,23.8,12.4,1020.8,71,0,,7.2,14.8,,,,,
7,15.3,19.9,12.1,1019.6,77,0,,10.9,18.3,,,,,
8,18.6,26.4,10.8,1016.1,66,0,,4.6,13,,,,,
9,20.1,25,16.1,1009.8,77,3.05,,4.6,14.8,,,,,
10,19.2,24,16.5,1005.3,83,0.51,,7.6,16.5,,,,,
11,14.3,17.9,11.2,1002,94,18.03,,10,20.6,51.9,,,,
12,15.2,19.3,11,1007,80,4.06,,14.3,22.2,,,,,
13,13.7,18.1,11.6,1017.2,84,0,,9.4,18.3,50,,,,
14,13.8,16.6,11.5,1013.5,94,5.08,,15.9,25.9,,,,,
15,13.8,18.7,9.6,1024.5,75,2.03,,10.9,18.3,,,,,
16,14.4,17.4,12.9,1019.7,90,7.11,,12.4,25.9,,,,,
17,15.2,17.7,13.1,1019.7,79,0,,16.5,22.2,,,,,
18,14.3,16.7,13,1014.3,87,3.05,,19.1,35.2,68.3,,,,
19,14.5,17,12.6,1016.4,76,0,,19.1,25.9,53.5,,,,
20,15.7,20.3,11.1,1020.7,74,0,,10.6,18.3,,,,,
21,15.2,19.4,10.9,1021.7,68,0,,10,13,,,,,
22,15.7,19.7,11.8,1018.8,69,0,,8,14.8,,,,,
23,15.2,20.1,10.4,1018.8,71,0,,10.4,20.6,,,,,
24,14.4,19,8.8,1024.5,73,0,,10.6,20.6,,,,,
25,15,20.9,10.3,1026.1,71,0,,8.7,16.5,,,,,
26,15.1,17,13.7,1023,92,0,,15.6,22.2,48.2,,,,
27,19.4,24.7,14.2,1021.9,71,0,,8.1,16.5,,,,,
28,19.8,25.7,13.9,1019.8,59,0,,13,16.5,,,,,
29,19.4,25.3,13.7,1016.4,56,0,,15.2,20.6,,,,,
30,21.3,27,15.2,1016.8,53,0,,14.3,22.2,,,,,
