Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,7.6,9.1,4.6,1016.4,90,8.89,,23,31.3,,,,,
2,5.6,9.7,2.2,1028.5,76,0,,15.2,25.9,,,,,
3,7.3,8.5,4.8,1029.8,91,0,,18.3,22.2,,,,,
4,6.3,8.4,5.1,1027.3,92,0,,19.6,25.9,,,,,
5,7.6,10.3,4.9,1018.8,90,2.03,,23.5,38.9,,,,,
6,7.6,10.2,3.7,1025.7,92,0.25,,24.8,37,,,,,
7,8.3,9.5,6.4,1022.1,93,0.51,,27,37,,,,,
8,5.7,10.3,1.9,1032.7,80,1.02,,10.2,16.5,,,,,
9,5.3,8.9,0.7,1032.5,88,0.51,,17.2,27.8,,,,,
10,6.8,9.2,3.7,1025.9,84,3.05,,29.1,42.4,66.5,,,,
11,6.4,8.3,3.3,1027.6,86,2.03,,28.2,40.7,63,,,,
12,8.4,9.2,7.5,1012.9,94,3.05,,44.8,55.4,88.9,,,,
13,8.8,10,7.8,1007.5,90,0,,46.7,53.5,79.5,,,,
14,8.7,10.5,7,1016.4,93,0.76,,34.4,46.5,72.2,,,,
15,8.8,10.3,7.7,1023.1,93,0.25,,26.7,35.2,,,,,
16,8.3,11.2,6,1029.3,90,0,,7.2,16.5,,,,,
17,7.4,9.2,6,1027.5,90,0.51,,8.3,16.5,,,,,
18,8.6,10.5,7,1021,97,3.05,,21.3,33.5,,,,,
19,7.3,10.7,3.8,1023.8,96,0.25,,9.4,22.2,,,,,
20,9.4,12.5,7.5,1020.9,99,0.76,,24.6,29.4,,,,,
21,8.3,10.1,5.7,1023.1,76,0.51,,38.2,46.5,81.3,,,,
22,9.3,11.3,6.9,1016.5,92,3.56,,42.4,50,79.5,,,,
23,5.6,7.5,3.8,1007.5,77,1.02,,43.7,61.1,96.5,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,4.7,7.1,3.6,1003.7,80,3.05,,42.2,51.9,90.7,,,,
27,4.5,7.1,2,1012.5,67,1.02,,30.4,40.7,,,,,
28,6.1,9.4,1,1011.9,88,2.03,,15.2,27.8,,,,,
29,4.8,8.5,0.3,995.2,89,6.1,,17,33.5,,,,,
30,3.2,8.1,0.1,983,84,0.76,,9.1,18.3,,,,,
31,3.8,6.3,0.9,980.6,91,0.25,,15,24.1,,,,,
