Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,14.7,15,14,,92,,10,18.3,21.9,,,,,
2,,,,,,,,,,,,,,
3,17.5,19,16,,57,0,11.3,21.1,21.9,,,,,
4,15.6,17,13,,71,0,10.9,29.6,36.7,46.1,,,,
5,18.3,21,15,,60,0,10.8,26.1,27.8,,,,,
6,19.6,22,17,,70,0,11.3,23.5,27.8,,,,,
7,19.4,24,13,,75,0,6.6,6.7,14.8,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,21.2,24,17,,59,0,11.3,17.8,25.9,,,,,
11,,,,,,,,,,,,,,
12,16.4,17,16,,87,0,7.2,27.8,27.8,,,,,
13,21.8,24,16,,67,0,10.5,23.3,29.4,,,,,
14,,,,,,,,,,,,,,
15,19,20,18,,83,,5.3,11.9,23.7,,,,,
16,17.3,19,11,,55,0,10.9,22.8,29.4,,,,,
17,18.8,21,15,,51,0,10.9,13.7,18.3,,,,,
18,20.2,21,19,,76,0,10.9,15.6,18.3,,,,,
19,19.1,21,15,,71,0,10.3,19.8,21.9,,,,,
20,17.7,19,16,,76,0,11.3,25.7,33.2,,,,,
21,17.3,20,16,,74,0,11.3,22,25.9,,,,,
22,16.8,18,15,,70,0,11.3,22,27.8,,,,,
23,15,,,,74,0,11.3,20.2,27.8,,,,,
24,15.3,18,14,,80,,10,16.1,18.3,,,,,
25,20,23,15,,60,0,9.8,19.3,21.9,,,,,
26,18.2,20,15,,67,,10,20.2,31.3,,,,,
27,14.9,16,12,,65,0,11.3,20.6,23.7,,,,,
28,17.6,21,13,,63,0,11.3,24.3,27.8,,,,,
29,20.2,23,16,,61,0,10.9,23.9,27.8,,,,,
30,23.9,26,19,,52,0,10,25.9,31.3,46.1,,,,
31,22,25,19,,71,0,8.5,6.3,10.7,,,,,
