Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,12.9,15,11,,95,,7.2,15.2,25.9,,,,,
2,13,15,12,,93,,10.5,11.7,20.6,,,,,
3,12.9,16,11,,86,,10.9,20,35.2,50,,,,
4,12.8,14,12,,87,,10.3,27.8,37,51.9,,,,
5,12.9,15,12,,92,,6.4,13.3,25.9,,,,,
6,13.6,16,10,,85,,7.9,16.1,25.9,,,,,
7,12.2,16,7,,67,0,10.1,11.1,18.3,,,,,
8,14.1,19,9,,65,0,10.6,9.4,16.5,,,,,
9,15,19,9,,71,0,10.6,9.3,14.8,,,,,
10,16.6,20,14,,70,0,11.3,8.9,20.6,,,,,
11,13.8,17,12,,70,0,10.8,11.5,14.8,,,,,
12,12.1,16,6,,74,0,11.1,19.3,29.4,,,,,
13,11.1,14,5,,72,0,11.1,22.2,31.3,46.5,,,,
14,13.7,16,12,,75,,11.3,19.1,31.3,44.3,,,,
15,14.3,17,13,,84,,9.8,21.3,33.5,51.9,,,,
16,15.2,17,13,,92,,8,17,25.9,,,,,
17,16.8,19,15,,93,,6.9,16.7,25.9,,,,,
18,20.4,25,16,,79,0,11.1,13.5,22.2,,,,,
19,18.8,26,14,,84,0,9.5,18.1,29.4,,,,,
20,15.1,18,12,,86,0,8.9,20.6,31.3,,,,,
21,14.7,18,10,,88,0,10.9,16.9,22.2,,,,,
22,17.1,23,12,,78,0,10.8,10.9,18.3,,,,,
23,17.1,23,12,,77,0,10.3,10.7,16.5,,,,,
24,16.1,19,14,,92,,9.5,11.9,22.2,,,,,
25,16.2,18,15,,86,0,10.3,19.4,27.8,42.4,,,,
26,16.2,20,13,,70,0,10.9,19.3,29.4,,,,,
27,17.8,23,12,,64,0,10,14.3,22.2,,,,,
28,17.9,24,15,,59,,10.3,24.8,37,46.5,,,,
29,16.9,20,14,,81,,9,10.7,16.5,,,,,
30,15.2,17,14,,84,,9.8,19.1,33.5,,,,,
