Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.3,28,24,,77,,11.3,33.2,40.7,,,,,
2,26.6,28,25,,81,,11.3,30,37,,,,,
3,27.2,29,26,,74,,11.3,30.7,37,,,,,
4,27.2,28,25,,75,0,11.3,27.8,37,,,,,
5,26.2,27,25,,86,,11.3,33.5,44.6,,,,,
6,26.9,28,24,,84,,11.3,35,40.7,,,,,
7,26.4,28,24,,86,,11.3,30.9,37,,,,,
8,26.9,28,26,,85,,11.3,28.3,33.5,,,,,
9,26.4,28,24,,88,,11.3,29.1,37,,,,,
10,25.8,26,25,,91,,11.3,31.5,33.5,,,,,
11,26.9,28,26,,81,,11.3,30.6,35.2,,,,,
12,26.9,28,25,,80,,11.3,32.4,37,,,,,
13,26.6,28,25,,81,,11.3,31.1,37,,,,,
14,25.5,27,23,,86,,11.3,26.3,42.4,,,,,
15,26.5,28,25,,78,0,11.3,29.1,33.5,,,,,
16,26.9,28,25,,75,0,11.3,27,37,,,,,
17,26.6,28,24,,74,,11.3,25.9,31.7,,,,,
18,26.4,27,25,,78,,11.3,23.7,29.4,,,,,
19,26.4,27,25,,83,0,11.3,19.4,25.9,,,,,
20,26.3,28,25,,85,0,11.3,20.4,27.8,,,,,
21,25.4,27,24,,89,,11.3,16.7,27.8,,,,,
22,26.2,27,24,,82,0,11.3,12.6,18.3,,,,,
23,25.8,27,25,,81,0,11.3,14.8,27.8,,,,,
24,26.6,28,26,,78,,11.3,30.6,37,,,,,
25,26.6,28,25,,74,,11.3,28.5,33.5,,,,,
26,26,27,24,,80,,11.3,30,33.5,,,,,
27,,,,,,,,,,,,,,
28,26.8,28,25,,84,,11.3,29.4,37,,,,,
29,26.9,28,25,,81,,11.3,33,37,,,,,
30,26,28,25,,85,,11.3,35.2,42.4,46.5,,,,
31,25.7,27,24,,89,,11.3,26.9,33.5,,,,,
