Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.6,28.1,22.5,1016.3,78,0,24.5,13.9,18.3,,,,,
2,26.8,28.6,21.9,,81,0,23.2,15.4,27.8,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,25.3,27.8,22.4,1017.5,91,0,19.3,24.1,27.8,,,,,
6,26.3,27.8,23.4,1017.6,87,0,26.1,13.9,14.8,,,,,
7,26.6,27.9,24,1018.3,87,0,25.4,15.6,18.3,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,25.9,28.2,23.4,1020.1,88,0,27.2,27.2,29.4,,,,,
11,26.2,28.2,22.9,1019.6,89,0,22,25.9,33.5,,,,,
12,26.3,28.5,23.9,1018.8,86,0,21.6,25,29.4,,,,,
13,26.6,28.5,24,1018.1,80,0,29.3,25.4,27.8,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,26.3,28,23.8,1018.2,86,0,28.3,18.9,22.2,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,27.1,27.8,21,,83,0,30.3,0,,,,,,
21,,,,,,,,,,,,,,
22,25.9,28,23.8,1019.4,88,0,25.3,28.5,31.3,,,,,
23,25.8,27.7,22,1018.2,76,0,25.3,25.9,29.4,,,,,
24,26.2,27.4,21.9,1016.5,74,0,22.7,22.2,25.9,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,26.1,28.2,21,1016.5,76,0,26.7,14.4,20.6,,,,,
