Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.4,29.1,23.5,1011.9,73,0,160,17.4,31.3,,,,,
2,26.7,29.1,24.6,1011.7,76,0,160,25,38.9,,,,,
3,26.8,29.1,25.2,1012.4,75,,160,25.6,37,,,,,
4,27.3,30.7,25.7,1012.1,74,0,160,26.5,31.3,,,,,
5,26.7,29.6,25.2,1011,76,0,160,22.2,29.4,,,,,
6,26.4,29.1,24.1,1010.5,75,0,160,19.4,29.4,,,,,
7,26.3,28.5,23.5,1011,76,,160,26.1,38.9,,,,,
8,27,29.1,25.7,1011.4,76,0,160,34.6,42.4,,,,,
9,27.3,29.6,25.2,1012,80,,147.6,30.7,40.7,,,,,
10,27.6,29.6,26.3,1012.9,77,,123.3,33.2,42.4,,,,,
11,27.4,30.2,26.3,1014.9,74,0,98.3,34.4,42.4,,,,,
12,25.6,28,22.4,1015.6,78,,104,31.1,53.5,,,,,
13,26.1,28.5,24.6,1014,79,0,160,27,38.9,,,,,
14,26.3,29.1,24.6,1014.2,76,0,160,27.2,40.7,,,,,
15,26.4,29.1,24.1,1012.9,70,0,160,25.9,35.2,,,,,
16,26.4,29.1,24.6,1013,75,0,160,30.7,42.4,,,,,
17,26.5,29.1,24.6,1013.6,74,,160,30.2,46.5,,,,,
18,26.6,29.1,24.6,1013.2,75,0,160,28.3,42.4,,,,,
19,26.6,29.1,24.6,1012.8,70,0,160,25.2,37,,,,,
20,26.2,29.1,25.2,1012.6,75,0,160,22,35.2,,,,,
21,26.2,29.1,23.5,1014.1,74,,160,25,38.9,,,,,
22,26.5,29.1,25.2,1014,74,0,160,31.3,42.4,,,,,
23,26.7,29.6,25.2,1013,73,0,160,27,38.9,,,,,
24,26.1,28.5,23.5,1012.5,78,,147.6,25.2,33.5,,,,,
25,26.2,29.6,24.6,1013.5,73,0,160,24.1,33.5,,,,,
26,26.2,29.1,23.5,1014.5,73,,160,26.1,33.5,,,,,
27,26.1,28.5,24.6,1014,73,0,160,24.8,35.2,,,,,
28,25.8,28,24.1,1013.1,70,0,160,25.7,40.7,,,,,
29,25.6,28,24.1,1012.8,76,,147.9,23.5,29.4,,,,,
30,25.3,28,23,1012.6,80,0,160,17,27.8,,,,,
31,26.3,29.1,24.6,1013.8,74,0,160,23.7,38.9,,,,,
