Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.9,30.4,22.4,1018.9,69,0,12.6,30.6,40.7,,,,,
2,26.4,30.1,20.2,1017.8,71,0,12.7,29.3,40.7,,,,,
3,26.4,30,23.9,1017.9,74,0,13.2,28.9,37,,,,,
4,25.9,30.8,23.3,1016.7,81,6.35,11.9,18.9,31.3,,,,,
5,25.3,28,21.7,1017.5,76,0.25,12.9,17.4,31.3,,,,,
6,23.9,26,22,1019.6,63,0,12.7,19.4,29.4,,,,,
7,23.7,27.3,20.9,1022.0,61,0,13,21.7,29.4,,,,,
8,25,27.1,22.1,1021.3,55,0,12.7,22.8,33.5,,,,,
9,24.4,29,21.7,1021.0,67,0,12.7,23,33.5,,,,,
10,25,28,22.9,1020.5,71,0,12.9,24.1,33.5,,,,,
11,25.4,29.6,21.8,1018.5,72,0,12.4,28,37,,,,,
12,25.1,28.7,22,1021.8,72,0,12.7,27.8,37,,,,,
13,25,28.8,22.5,1020.7,69,0,12.9,29.4,40.7,,,,,
14,25.8,29,22.7,1019.6,65,0,12.7,27,37,,,,,
15,25.1,29.2,20.3,1019.6,75,0.25,12.6,26.1,37,,,,,
16,25,29,22.4,1020.5,77,16.26,12.2,24.8,35.2,,,,,
17,25.4,29,23.2,1022.2,72,6.35,12.6,27.2,33.5,,,,,
18,25.3,28.8,22.3,1021.4,71,1.52,12.6,23.5,29.4,,,,,
19,25.3,29,22.3,1021.0,71,0,12.9,24.4,33.5,,,,,
20,25.3,29,22.3,1021.6,74,0,12.6,20.7,33.5,,,,,
21,25.7,29.4,21.6,1021.6,73,1.02,13,23.2,31.3,,,,,
22,,,,,,,,,,,,,,
23,25.6,29.6,21,1018.4,69,0,12.7,19.6,29.4,,,,,
24,25.3,29,21.8,1016.8,73,0.25,12.9,18.3,29.4,,,,,
25,26.1,29,21.8,1015.8,67,0,12.6,15.2,24.1,,,,,
26,25.2,29,18.9,1017.6,71,0,12.7,8.1,16.5,,,,,
27,25.5,30,18.1,1018.0,68,0,11.7,6.5,18.3,,,,,
28,26.6,31,21.5,1017.9,65,0,12.6,8.1,14.8,,,,,
29,26.7,32,20.8,1018.0,66,0,12.7,7.8,16.5,,,,,
30,27.2,31.3,20.3,1018.4,69,0,12.7,8.7,14.8,,,,,
31,28.4,34,25,1016.5,66,0,12.2,11.3,18.3,,,,,
