Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,27.2,30,25,,75,0,10,35.2,42.4,,,,,
2,26.7,29,24,,75,,9.8,33,42.4,64.8,,,,
3,26.6,29,24,,75,,10,31.1,40.7,,,,,
4,27.1,30,25,,76,,10,31.3,40.7,,,,,
5,26.1,29,25,,82,,10,24.8,33.5,,,,,
6,26.4,29,24,,79,,10,25.6,31.7,,,,,
7,26.5,29,23,,77,,10,24.4,29.4,,,,,
8,25.7,29,23,,85,,10,18,29.4,,,,,
9,26.9,29,26,,77,0,10,23,25.9,,,,,
10,26.6,29,24,,74,0,10,18.3,25.9,,,,,
11,25.2,29,22,,73,0,10,14.3,24.1,,,,,
12,24.9,29,22,,77,0,10,13.5,20.6,,,,,
13,25.3,28,23,,81,,10,18,29.4,,,,,
14,26.2,28,25,,68,0,10,23.5,27.8,,,,,
15,25.2,28,24,,76,,9.5,20,29.4,,,,,
16,25.7,28,24,,79,,9.8,20.4,25.9,,,,,
17,24.9,28,24,,91,,8.5,22,33.5,,,,,
18,26.3,29,24,,78,,9.8,26.3,33.5,,,,,
19,26.4,29,24,,76,0,10,25,33.5,,,,,
20,26.1,29,25,,78,,10,27,33.5,,,,,
21,26.9,29,26,,74,,10,29.6,35.2,,,,,
22,26.6,29,25,,73,,10,27.6,37,,,,,
23,26.3,29,23,,76,,10,30.4,37,,,,,
24,26.9,29,25,,72,0,10,29.1,35.2,,,,,
25,26.7,30,24,,77,,10,31.9,38.9,,,,,
26,27,30,26,,72,,10,36.3,42.4,,,,,
27,26.9,29,25,,68,,10,43.9,51.9,,,,,
28,26.5,29,25,,71,,10,35,40.7,,,,,
29,26.4,29,25,,72,,10,28.9,35.2,,,,,
30,25.8,28,25,,74,0,10,25.7,29.4,,,,,
31,26.8,29,25,,70,0,10,28,35.2,,,,,
