Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,27.6,32,23,1014.9,81,280.92,11.6,15.2,29.4,,,,,
2,29.1,31,26,1015.1,78,0,14.3,16.7,25.9,,,,,
3,28.5,31,25,1013,79,0,13.5,13.3,21.9,,,,,
4,27.8,31,23,1011.9,81,201.93,15,15.4,31.7,,,,,
5,27.4,30,22,1011.5,84,0,20.3,14.3,18.3,,,,,
6,29.1,32,22,1011.4,74,0,15.1,7.8,16.5,,,,,
7,30.6,34,25,1008.4,72,0,17.2,15.2,24.1,,,,,
8,29,35,25,1008.2,76,0,18.5,11.5,21.9,,,,,
9,29.7,33,28,1009.2,75,0,16.7,18.1,25.9,,,,,
10,28.8,30,27,1008.4,80,0,17.1,13.3,20.6,,,,,
11,29.3,31,27,1008.3,82,0,16.6,18.3,29.4,,,,,
12,29,32,26,1010.5,81,0.25,17.5,10.9,20.2,,,,,
13,29.9,32,28,1011.8,77,0,14.8,15,20.2,,,,,
14,28.8,32,27,1012.6,79,0,16.1,17.6,25.9,,,,,
15,28.3,32,25,1011.8,83,6.6,14.5,18.3,25.9,,,,,
16,28.8,31,25,1012.6,79,0,14.6,15,21.9,,,,,
17,27.4,31,25,,85,0,15,11.9,18.3,,,,,
18,28.8,31,24,1015,79,0,18,14.6,25.9,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,28,31,23,,85,0,15.1,9.8,18.3,,,,,
30,29.2,31,27,,75,0,16.9,12,14.8,,,,,
31,28.1,31,25,1013.9,83,0,17.9,11.7,22.2,,,,,
