Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,20.9,22.8,20,1023.1,76,0,14,19.8,24.1,,,,,
2,23.4,26.7,21.1,1023.2,86,,13.8,15.2,22.2,,,,,
3,23.7,26.1,22.2,1022.1,86,0,14.3,14.6,18.7,,,,,
4,22.4,24.4,20,1020.3,92,,11.9,17.6,27.8,,,,,
5,22.4,24.4,20.6,1022.5,91,,13.8,15.6,29.4,,,,,
6,23.2,26.1,21.1,1024,86,,13.4,14.6,18.7,,,,,
7,23.5,25.6,22.2,1023.4,89,,14.3,15.6,18.7,,,,,
8,23.7,25.6,22.2,1022.5,86,0,14.3,13.5,18.7,,,,,
9,25.2,28.3,22.8,1023.2,77,0,14.3,10.2,14.8,,,,,
10,25.6,28.3,23.9,1024.4,76,0,14.3,15.2,20.6,,,,,
11,25.1,27.2,23.3,1024.8,79,,14.3,20,25.9,,,,,
12,25.1,27.8,23.3,1025.9,79,0,14.2,20.7,25.9,,,,,
13,25.2,27.8,23.3,1026.1,77,0,14.3,17.4,22.2,,,,,
14,24.4,26.1,23.3,1024.9,82,0,14.3,18.5,22.2,,,,,
15,24.6,25.6,23.9,1022.6,83,0,14.2,24.3,29.4,,,,,
16,24.8,26.1,23.9,1020.3,84,0,14.3,24.8,29.4,,,,,
17,24,25,21.7,1015.8,90,,13,26.3,33.5,,,,,
18,21.7,22.8,18.3,1013.5,83,,11.4,19.8,27.8,,,,,
19,21.5,23.3,18.3,1011.2,86,,11.9,21.5,33.5,,,,,
20,22.8,23.9,21.7,1016.7,79,,13.5,17,31.7,,,,,
21,24.2,25.6,22.8,1015.9,83,,14,26.7,35.2,,,,,
22,25,28.9,22.8,1020.5,77,0,14.3,8.1,14.8,,,,,
23,24.7,27.2,23.3,1021.9,81,0,14.3,7.8,16.5,,,,,
24,25.3,27.8,22.8,1024.3,80,0,14.3,10.6,20.6,,,,,
25,26,28.9,23.9,1026.6,79,0,14.3,14.8,18.7,,,,,
26,25.9,28.3,23.9,1027.4,77,0,14.3,16.1,20.6,,,,,
27,26,28.3,23.9,1026.2,75,0,14.3,13.1,20.6,,,,,
28,26.1,28.9,23.9,1025.3,74,,14.3,14.4,18.7,,,,,
29,26.3,28.9,23.9,1026.6,77,0,14.3,15.9,20.6,,,,,
30,25.7,27.2,24.4,1025.6,80,0,14.3,16.5,20.6,,,,,
