Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28.2,29,26,,69,0,10,10.7,16.5,,,,,
2,28.3,30,25,,69,0,10,6.5,11.1,29.4,,,,
3,28.4,30,24,,69,0,10,9.4,14.8,,,,,
4,28,29,26,,74,,10,11.5,14.8,,,,,
5,26.6,29,22,,81,,10,15.2,20.6,,,,,
6,25.2,27,22,,86,,10,17,33.5,53.5,,,,
7,27.2,29,26,,79,0,10,17.2,24.1,,,,,
8,28.6,30,26,,75,0,10,20.4,24.1,,,,,
9,27.6,30,25,,76,,10,21.3,25.9,44.6,,,,
10,27.9,29,26,,71,0,10,18,22.2,,,,,
11,26.9,29,25,,80,0,10,13.3,18.3,,,,,
12,27.6,30,26,,77,,10,18.1,24.1,,,,,
13,23.9,25,22,,92,,10,9.4,24.1,,,,,
14,27.2,28,26,,79,0,10,24.1,27.8,,,,,
15,28.2,30,26,,72,0,10,21.3,25.9,,,,,
16,26.8,29,25,,81,0,10,17.4,24.1,,,,,
17,27.3,29,24,,76,,10,26.7,31.7,48.2,,,,
18,27.7,30,25,,70,0,10,19.8,25.9,,,,,
19,27.6,30,26,,68,0,10,13.7,18.3,,,,,
20,27.6,29,25,,70,0,10,15.2,20.6,,,,,
21,27.6,29,25,,74,0,10,17.8,24.1,,,,,
22,27.7,30,25,,74,,10,16.9,20.6,,,,,
23,28.1,30,26,,72,0,10,15.7,20.6,,,,,
24,28.1,29,26,,68,0,10,10.9,14.8,,,,,
25,27.4,29,24,,72,,10,6.5,13,,,,,
26,27.4,29,25,,69,0,10,6.5,9.4,,,,,
27,28,30,26,,70,0,10,13.1,20.6,,,,,
28,27.8,29,25,,64,0,10,12.8,18.3,,,,,
29,27.8,29,26,,64,,10,8.9,13,,,,,
30,27.9,31,24,,67,0,10,8.3,14.8,,,,,
31,27.7,29,23,,72,0,10,7,11.1,,,,,
