Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,12.3,18.5,6.4,1019.9,91,3.3,,10.4,20.6,,,,,
2,13.8,19.3,11.2,1015.6,75,5.08,,13.9,27.8,,,,,
3,14.8,23.5,6.8,1018.6,54,0.25,,5,7.6,,,,,
4,17.9,25,5.5,1011.8,46,0.76,,16.3,31.7,,,,,
5,15.4,24.6,7.4,1019.8,61,0.25,,8,18.3,,,,,
6,14.4,21.9,7.1,1022.9,61,1.02,,10.9,16.9,,,,,
7,14.8,22.8,10.2,1019.5,71,0,,12.4,16.5,,,,,
8,15.9,25.2,10.3,1013.6,65,0.51,,13.5,22.2,,,,,
9,11.2,15.9,8.2,1013.6,83,0.25,,11.9,14.8,,,,,
10,7.5,11.4,5.9,1020.1,89,12.7,,10.2,16.5,,,,,
11,8.6,14.4,6.6,1022.6,83,0.76,,10.9,16.5,,,,,
12,10.7,19.4,4.2,1022.1,65,0,,10.4,16.5,,,,,
13,13.7,21.3,4.1,1013.7,57,0.76,,8.7,13.3,,,,,
14,12.8,19.2,7.9,1010.5,52,0,,9.3,20.6,,,,,
15,15.7,22.2,12.4,1005.2,45,0,,14.6,25.9,,,,,
16,15.1,23.4,8.5,1003.8,53,0,,13.3,25.9,,,,,
17,13,20.1,7.9,1006.9,68,0,,10.9,20.9,,,,,
18,11.4,17.5,3.2,1011.4,64,0,,6.5,11.1,,,,,
19,10.9,16.7,3.2,1014.6,73,10.67,,8.7,14.8,,,,,
20,10.9,15.3,7.1,1011.7,70,0,,12.8,20.6,,,,,
21,10.2,18.5,3.1,1015.5,67,0,,9.8,25.9,,,,,
22,15.3,21.9,10.1,1008.6,45,0,,13.7,24.1,,,,,
23,13.3,22.5,5.5,1006.6,53,0,,11.3,18.3,,,,,
24,11.8,15.7,3.9,1009.1,51,0,,14.1,20.2,,,,,
25,9.4,15.2,3.1,1015.7,47,0,,6.9,11.1,,,,,
26,9.1,16.3,3.1,1006.6,55,0,,14.1,31.7,,,,,
27,3.3,10.5,1.4,1014.2,81,2.54,,16.7,24.1,,,,,
28,-1.6,4.3,-3.5,1027.7,81,1.78,,18,29.4,,,,,
29,-2.3,-0.9,-3.5,1029.2,91,6.1,,18.5,25.9,,,,,
30,-2.3,-0.6,-3.3,1026,87,7.87,,14.6,24.1,,,,,
