Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,14.2,21,3.9,,42,0,,14.6,33.2,38.9,,,,
2,14.7,22,8,,59,0,,12,33.5,53.5,,,,
3,10.9,22.1,6.8,,62,0,,20.6,33.5,,,,,
4,5.1,11.5,1.4,,65,0.51,,15.2,27.8,50,,,,
5,10.2,18,5,,71,0,,12.2,31.3,,,,,
6,11.8,21,1,,54,1.52,,9.1,21.9,55.4,,,,
7,14.9,19.5,9.2,,50,0,,11.3,25.9,,,,,
8,14.1,18.3,10.2,,48,0,,14.1,21.9,,,,,
9,15.8,24,7.9,,51,0,,17.8,31.3,,,,,
10,16.7,24.3,5.2,,42,0,,17.6,31.3,,,,,
11,16.6,24.6,5.2,,52,2.03,,14.4,29.4,46.5,,,,
12,14.8,21.9,9.2,,63,0,,11.3,23.7,35.2,,,,
13,13.9,23,5,,59,1.52,,6.9,16.5,33.5,,,,
14,14.4,23.5,4.1,,79,12.7,,14.6,27.8,37,,,,
15,12.6,14,11,,91,0.51,,20.4,27.8,38.9,,,,
16,13.1,17,11.9,,91,22.1,,15.2,27.8,37,,,,
17,12.9,19,9,,81,2.29,,11.5,21.9,38.9,,,,
18,14.3,19.8,8.8,,87,23.62,,22.4,29.4,35.2,,,,
19,13.8,17.3,12,,91,13.72,,19.6,27.8,40.7,,,,
20,14.6,17.6,12,,93,12.45,,14.4,20.2,,,,,
21,15.8,22,12,,79,7.87,,11.5,16.5,33.5,,,,
22,16.2,24,9,,67,0,,6.9,14.8,35.2,,,,
23,19.4,25,12.9,,64,0,,16.7,31.3,,,,,
24,16.6,26.7,12.6,,74,13.72,,19.1,40.7,59.4,,,,
25,13.1,19,9.7,,75,0,,14.4,25.9,,,,,
26,12.9,16,10,,83,1.52,,19.3,29.4,37,,,,
27,13.6,24,6,,75,0,,15.2,25.9,40.7,,,,
28,16.7,24,10,,74,0,,8.1,14.8,38.9,,,,
29,19.3,26,14,,70,0,,8.3,13,,,,,
30,15.6,25.6,11.4,,75,10.41,,18.3,27.8,59.4,,,,
