Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-18.6,-17,-22,1025.9,55,0,24.1,15.2,18.3,,,,,
2,-20,-16,-25,1032.4,65,0,24.1,6.5,13,,,,,
3,-12.9,-11,-16,1034.4,73,0,24.1,23.7,27.8,37,,,,
4,-6.5,-6,-8,1022.7,86,,5.5,21.1,29.4,37,,,,
5,-4.5,-4,-6,1020.8,85,,8.9,24.3,29.4,,,,,
6,-9.3,-9,-11,1023.8,81,,6,38.9,44.3,55.4,,,,
7,-12.7,-11,-15,1021.4,74,,10.1,32.4,37,46.5,,,,
8,,,,,,,,,,,,,,
9,-12.5,-10,-16,1013.9,69,0,24.1,18.3,18.3,27.8,,,,
10,-8.8,-5,-14,1009.5,77,0,24.1,18.3,27.8,,,,,
11,-5,-4,-6,1010.3,83,,22,22,27.8,37,,,,
12,-4.2,-3,-7,1013.6,85,0,24.1,21.3,31.3,37,,,,
13,-4.8,-3,-7,1015.7,85,0,24.1,13.9,18.3,27.8,,,,
14,-5.7,-2,-12,1017.8,82,0,24.1,14.4,18.3,,,,,
15,-5,-2,-9,1019.3,81,0,24.1,14.6,18.3,,,,,
16,-2.9,0,-8,1026.5,70,0,24.1,1.7,5.4,,,,,
17,-1.6,3,-9,1025.3,83,0,20.9,4.8,14.8,,,,,
18,-1.2,1,-2,1028.9,80,0,24.1,21.1,29.4,40.7,,,,
19,0.4,3,-5,1018.4,74,0,24.1,20.6,37,46.5,,,,
20,-3.9,-3,-6,1020.2,77,,19.8,28,31.3,46.5,,,,
21,-6,-5,-7,1022.7,69,,22.2,20.2,24.1,27.8,,,,
22,-3.9,-2,-8,1005.3,80,,17.5,25,35.2,46.5,,,,
23,-4.4,-3,-6,996.2,82,,18.2,18.9,37,46.5,,,,
24,-7.3,-6,-9,994,79,,23.2,4.6,14.8,,,,,
25,-7.1,-6,-9,1000.8,80,0,20.4,21.1,27.8,37,,,,
26,-4.5,-3,-6,1012.2,83,0,24.1,14.6,27.8,37,,,,
27,-6.8,-5,-11,1014.4,81,0,24.1,0,,,,,,
28,-5.5,-5,-7,1014.2,81,0,24.1,20.6,27.8,,,,,
29,-3.8,-3,-6,1013.7,84,0,24.1,14.4,18.3,,,,,
30,-1.6,0,-3,1008.2,87,,7.6,23,27.8,,,,,
