Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,16.1,21,10.2,1019.4,68,0,34.9,11.5,33.5,40.7,,,,
2,15.2,22.1,9,1019.5,68,0,38.5,6.9,24.1,29.4,,,,
3,17.4,23.1,8.4,1018.4,64,0,32.7,12.6,22.2,27.8,,,,
4,16.1,26,8,1019.9,58,0,38.1,5.6,20.6,31.7,,,,
5,17.8,28,9,1016.4,56,0,38.3,6.5,20.6,,,,,
6,19.2,28.1,8.8,1016,53,0,24.9,5.9,14.8,,,,,
7,17.8,29.3,10.5,1017.4,57,0,37,8.7,24.1,27.8,,,,
8,14.8,21.6,11.3,1017.8,94,13.72,12.4,5.7,14.8,,,,,
9,15.5,20,12.9,1015.8,90,11.94,14,8.3,16.5,,,,,
10,15,18,12,1013.7,91,8.64,18.5,8.1,25.9,,,,,
11,14.6,18.9,11.4,1014,87,1.27,25.1,5.7,16.5,,,,,
12,13.8,17.7,11.4,1013.2,88,30.48,30.4,6.5,18.3,,,,,
13,15.1,19,13,1013.5,79,0.25,29.1,8.5,22.2,31.7,,,,
14,13.2,19.3,10.7,1015.4,82,1.27,29.8,9.3,16.5,,,,,
15,13.1,16.2,10.7,1012.2,92,4.83,19.6,6.3,9.4,,,,,
16,13,16.4,11.6,1010.6,92,5.08,16.1,10,27.8,40.7,,,,
17,,,,,,,,,,,,,,
18,12.4,19,6,1020.1,77,0,42,4.3,13,,,,,
19,11.7,19,5.8,1018.6,81,0,29.5,4.6,20.6,,,,,
20,13.2,19.4,11.8,1020,89,0.76,17.1,9.6,18.3,,,,,
21,12.3,16.1,11,1016.2,96,23.37,19.3,10.4,20.6,,,,,
22,14.9,18,13,1010.1,89,10.67,18.3,13.5,24.1,35.2,,,,
23,13,19.1,10.8,1017.8,84,4.32,18.7,14.4,22.2,38.9,,,,
24,13.8,18,8,1024.9,72,0,42.8,5.6,13,,,,,
25,12.1,20,7,1025.9,83,0,27.2,4.8,14.8,,,,,
26,13,20.1,6.6,1024.1,84,0,32,5,11.1,,,,,
27,13.7,22,7,1019.9,83,0,35.4,5.2,13,,,,,
28,20.2,24,17,1013.3,47,0,35.6,17.6,37,50,,,,
29,19.3,24.5,15.9,1008,35,0,36.7,24.1,38.9,51.9,,,,
30,13.2,19,11,1010.6,74,10.67,25.9,14.1,24.1,40.7,,,,
