Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,4.1,6.7,0.5,1000.7,86,5.08,,6.3,18.3,27.8,,,,
2,2.9,6.8,-0.1,1001.6,87,0.25,,4.8,13,,,,,
3,2.6,5.9,0.2,1012.9,73,16.51,,10,29.4,38.9,,,,
4,2.6,6.5,0.2,1018.8,62,0.25,,23.5,31.3,44.3,,,,
5,1.7,6.2,-0.2,1026,88,2.54,,4.1,20.6,29.4,,,,
6,3.9,8.6,0.5,1028.2,83,0,,3.9,11.1,,,,,
7,4.7,9.4,1.5,1021.9,62,0,,12.4,25.9,31.3,,,,
8,6.5,9.8,0.5,1008.4,66,1.52,,8.3,16.5,,,,,
9,5.8,9.6,3.8,1009.3,80,25.91,,6.3,18.3,38.9,,,,
10,5.3,11.8,1.3,1020.2,65,0,,7.8,20.6,29.4,,,,
11,8.4,15.7,4.5,1021.2,55,0,,10.4,24.1,37,,,,
12,11.1,17.6,7.7,1020.7,49,0.25,,19.1,29.4,46.1,,,,
13,12.6,18.8,7.4,1009.6,43,0.76,,22,33.5,44.3,,,,
14,8,12.8,6.5,1009.8,90,5.59,,4.4,13,,,,,
15,5.6,11.8,2.3,1011.2,78,1.78,,5.9,14.8,,,,,
16,8.6,14.9,4.5,1009.4,57,0,,13,25.9,35.2,,,,
17,8.6,15.4,3,1010,54,0,,13.5,29.4,35.2,,,,
18,7.3,14.1,2.6,1017.7,74,0.25,,4.4,13,,,,,
19,6.7,11.4,2.3,1023.3,78,0,,3,9.4,,,,,
20,7.4,10.4,4.4,1019.8,80,0,,2.4,7.6,,,,,
21,8.1,15.6,3.6,1009.6,65,0,,5.7,13,,,,,
22,8.9,15.8,3.6,999.6,68,0.51,,6.9,16.5,29.4,,,,
23,3.3,11.6,0.4,1008.7,84,10.16,,7.4,20.6,29.4,,,,
24,4.1,7.7,1.5,1010.1,80,3.05,,11.5,27.8,,,,,
25,3.3,8.5,-0.5,1016.1,82,0,,3.1,11.1,,,,,
26,5.2,10.5,-0.6,1020.4,82,7.11,,4.4,13,,,,,
27,7.3,12.9,5.5,1023.2,90,21.08,,4.8,14.8,29.4,,,,
28,9,13.2,5.9,1027.5,72,1.02,,7.6,14.8,,,,,
29,7.1,11.3,5.1,1027.9,78,0.51,,3.5,9.4,,,,,
30,8.8,13.6,6.5,1021.4,82,7.37,,5.2,13,27.8,,,,
31,9.5,13.8,6.2,1023.6,49,0,,10.9,20.6,48.2,,,,
