Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,-28,-28,-29,,80,,10,10.9,23.7,,,,,
6,-33.4,-33,-34,,77,,15,19.1,23.7,,,,,
7,-38.8,-35,-40,,,0,21.7,8,10.7,,,,,
8,-38.3,-37,-40,,,,24,9.1,10.7,,,,,
9,-36.3,-34,-39,,,0,23.3,1.5,5.4,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,-36.1,-34,-38,,,0,24,14.4,18.3,,,,,
13,-38.2,-35,-40,,,0,23.8,11.7,18.3,,,,,
14,-38.5,-34,-41,,,0,24,2.8,5.4,,,,,
15,-32.8,-30,-35,,80,0,24,10,14.8,,,,,
16,-32.4,-28,-35,,77,0,24,7,9.1,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,-29.4,-25,-33,,69,0,24,4.1,7.2,,,,,
20,-30,-27,-33,,80,0,24,5,9.1,,,,,
21,-28.7,-25,-33,,83,0,24,12.8,16.5,,,,,
22,-24.6,-22,-26,,86,0,24,2.4,7.2,,,,,
23,-28,-26,-30,,77,0,24,4.4,5.4,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,-24.1,-23,-25,,77,0,24,13.9,20.2,,,,,
27,-28.6,-23,-34,,79,0,24,0,,,,,,
28,-23.3,-20,-28,,86,,16.6,17,33.2,,,,,
