Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,6.5,8,4,1024.1,66,0,24,17.6,37,50,,,,
2,4.6,8,1,1026.8,55,0,24,8.7,37,55.4,,,,
3,3.4,5,2,1021.2,77,0,16.6,12.6,37,,,,,
4,2.8,5,2,1003.8,93,0,15.1,18,31.7,37,,,,
5,5.2,6,4,1005.2,84,0,15.9,42.2,51.9,70.6,,,,
6,4.8,7,3,1008.7,82,,14.3,23,38.9,,,,,
7,3.3,7,1,1015.6,82,0,24,8.7,11.1,,,,,
8,4,7,2,1023.8,82,0,24,7,9.4,,,,,
9,5,9,1,1025.1,69,0,24,8,22.2,,,,,
10,5,8,2,1022.7,,0,24,6.3,24.1,,,,,
11,5.8,8,4,1024,78,0,24,8.5,22.2,33.5,,,,
12,4.8,7,2,1024.8,79,0,24,10,25.9,46.5,,,,
13,4.5,6,3,1027.9,74,0,22,0.4,1.9,,,,,
14,6.3,8,5,1024.3,77,0,24,16.9,31.7,,,,,
15,4.6,7,2,1025.3,74,0,24,13.3,37,,,,,
16,6.8,9,4,1018.5,78,0,24,7.8,14.8,,,,,
17,7.2,9,6,1022.2,73,0,22.7,4.6,13,,,,,
18,6.6,9,5,1025.2,73,0,24,5.9,9.4,,,,,
19,7.6,9,6,1024,81,0,18.2,9.3,31.7,,,,,
20,5.7,7,4,1020.6,85,0,20,17.2,31.7,,,,,
21,4.6,8,2,1015,87,0,18.5,21.1,44.6,59.4,,,,
22,5.3,7,3,1015.3,80,,15.6,,,,,,,
23,5,7,4,1009.6,80,0,16.3,22.2,55.4,103.5,,,,
24,,,,,,,,,,,,,,
25,3.4,6,1,1015.9,87,0,21.4,15.6,22.2,,,,,
26,4.8,5,4,1000,74,0,14,37.8,63,,,,,
27,5.6,7,5,990.5,72,0,20.4,20.4,25.9,33.5,,,,
28,5,9,3,1009,88,0,22,9.6,18.3,,,,,
29,4.8,7,3,1021.7,82,0,19.5,18.1,35.2,51.9,,,,
30,6,9,4,1016.8,95,,8.4,25.4,33.5,,,,,
31,7.8,8,7,1025.1,93,0,3.9,18.1,37,40.7,,,,
