Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,0.6,3.5,-0.9,1006.9,98,,8.2,24.4,46.5,,,,,
2,2.4,4.6,0.8,1003.7,96,,8.5,36.3,46.5,,,,,
3,1.2,2.4,-0.4,1002.3,99,,6.9,41.1,50,,,,,
4,1.7,4.6,-0.4,1003.1,90,0,16.6,28.7,48.2,,,,,
5,2.7,5.8,0.8,1012.6,84,,21.1,32.6,46.5,,,,,
6,3.1,5.2,0.8,1024.9,71,,20.6,23.3,35.2,,,,,
7,3.5,5.8,1.3,1027.8,82,0,19.2,23.7,31.3,,,,,
8,7.1,14.1,2.4,1028.5,86,,12.9,29.4,63,,,,,
9,9.5,11.3,5.8,1020.7,93,,9.7,53.9,63,,,,,
10,3.8,6.9,1.9,1017.8,91,,7.4,43.7,59.4,,,,,
11,3.7,7.4,1.3,1010.9,90,,10.5,38.5,59.4,,,,,
12,4.9,7.4,3,1017.7,72,0,22.7,22,42.4,,,,,
13,4.7,10.2,1.3,1010.3,76,,17.4,35.4,46.5,,,,,
14,3.9,6.3,2.4,1023.1,80,0,22.5,36.7,50,,,,,
15,2.6,3.5,1.3,1016.3,97,,12.9,31.9,53.5,,,,,
16,1.5,3,-0.4,1008.7,99,,6,38.5,63,,,,,
17,2.4,5.8,-0.4,1029.2,76,0,20.9,30.7,42.4,,,,,
18,4.5,8.5,1.3,1034.2,62,0,20.6,26.5,38.9,,,,,
19,7.3,11.9,3.5,1023.2,82,,16.3,51.7,68.3,,,,,
20,6.8,9.1,4.1,1016,93,,11.4,66.7,79.5,,,,,
21,9.9,13.5,7.4,1013.8,96,,9.7,58,63,,,,,
22,10.2,15.2,6.9,1020.4,88,0,14,39.6,63,,,,,
23,9.5,11.3,8,1029.1,85,,11.7,20.6,31.3,,,,,
24,8,9.1,6.9,1031.6,90,,12.4,17.4,29.4,,,,,
25,4.8,8,3.5,1028.4,96,,6,19.6,27.8,,,,,
26,3.8,5.2,3,1025.6,99,,6.1,32,38.9,,,,,
27,6.8,8,4.6,1025,98,,4.2,31.9,48.2,,,,,
28,6.6,11.3,4.6,1026.2,100,,0.3,29.3,35.2,,,,,
29,8.6,11.3,5.8,1023.3,99,,0.2,28.7,42.4,,,,,
30,10.6,14.1,6.9,1018.1,99,,1.6,48.5,63,,,,,
31,8.1,11.3,6.3,1017.8,95,,6.3,23.7,44.3,,,,,
