Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,5.2,11.1,0.2,1015.4,79,0,24,9.6,16.5,,,,,
2,0,8.3,-1.1,1028.9,,5.08,6.9,14.1,18.3,,,,,
3,-0.7,0.8,-2.8,1028.8,92,7.87,10.6,4.8,13,,,,,
4,-0.1,1.3,-1.1,1020.9,91,2.03,14,7.6,14.8,,,,,
5,-1.8,2.2,-4.8,1019.4,87,0,19.6,12.8,18.3,,,,,
6,1.4,2.4,-3.3,1007.9,92,1.02,15.6,18.3,24.1,,,,,
7,0.3,2.8,-2.6,1010.7,90,1.02,18.3,12.8,20.6,,,,,
8,-5.9,0.6,-7.6,1008.8,91,0,1.1,27.2,42.4,,,,,
9,-10.4,-6.7,-14.8,1012,79,6.1,14.6,30.4,44.3,,,,,
10,-16.6,-3.7,-28.9,1026.4,75,0,24,8.3,18.3,,,,,
11,-1.1,3.5,-7.8,1018.2,82,0,24,7.6,20.6,,,,,
12,1.5,4.4,-2.8,1015.6,88,0,20.9,7.4,16.5,,,,,
13,3.1,4.1,1.9,1012.5,84,0,24,8,14.8,,,,,
14,0.9,4.4,-0.9,1013.7,90,,16.7,11.7,25.9,,,,,
15,-3.1,2.2,-4.2,1007.1,93,17.02,1.3,21.9,29.4,,,,,
16,-3.7,-2.6,-5,1011.9,89,7.11,17.4,9.6,14.8,,,,,
17,-3.3,-2.6,-4.4,1021.2,85,0,22.4,12.4,16.5,,,,,
18,-6.5,-2.8,-15.3,1022.1,86,,22,4.6,11.1,,,,,
19,-7.1,-3.9,-8.3,997,87,6.1,5.8,22,29.4,,,,,
20,-7.1,-6.5,-8.3,992.8,85,9.91,2.7,28.7,33.5,,,,,
21,-10.3,-6.1,-13.1,1011.6,82,3.05,17.1,19.4,24.1,,,,,
22,-13.6,-8.9,-21.7,1013.5,77,0,21.6,15,31.3,,,,,
23,-10.8,-3.1,-27.2,994.4,82,3.05,9.2,9.6,22.2,,,,,
24,-16.3,-3.3,-23.1,1011.2,74,3.05,19.8,24.3,31.3,,,,,
25,-19.8,-14.8,-30.9,1017.1,71,0,21.6,6.9,14.8,,,,,
26,-24.7,-9.8,-35.6,1017.6,71,,14.8,1.5,5.4,,,,,
27,-4.5,0.2,-10.9,1004.1,91,10.92,3.5,7.6,18.3,,,,,
28,-9.4,0,-18.9,1009.3,85,12.95,18.3,7.2,14.8,,,,,
29,-8.4,-4.2,-18.7,1009,85,2.03,17.7,8.1,24.1,,,,,
30,-20.7,-15.3,-27.2,1012.3,73,1.02,24,13.1,18.3,,,,,
