Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.2,28.6,21,1010.7,71,0,13.2,13,32.4,,,,,
2,22.6,28.6,19,1011,72,,11.3,14.1,25.9,27.8,,,,
3,22.5,29.4,17.7,1012.2,75,17.78,15.8,10.4,20.6,,,,,
4,24.5,29.4,17.7,1011.6,56,0,14.3,22.8,29.4,48.2,,,,
5,22.9,29.4,16.6,1011.8,66,,15.1,18.5,40.7,,,,,
6,22.5,29.1,16.6,1011.2,74,1.52,12.2,12,24.1,42.4,,,,
7,23.5,29,20,1011.9,64,0.25,13.4,17.8,27.8,,,,,
8,24.9,30.4,19,1011.1,59,0,15.3,21.1,31.7,46.5,,,,
9,24.4,30.9,19,1010.4,64,0,12.2,23.7,35.2,46.5,,,,
10,24.1,29,21.5,1009.3,65,0,14,22,48.2,,,,,
11,22.9,25,21,1009.1,71,,12.6,20.9,27.8,48.2,,,,
12,22.3,25.7,20.4,1009.2,72,2.29,14.3,20.9,29.4,46.5,,,,
13,20.7,23,19,,75,0,,10.6,18.3,,,,,
14,23.9,31,21,1011,69,1.52,13.2,15.6,27.8,46.5,,,,
15,23.8,31,21.1,1011.3,70,0.51,13.7,18.5,38.9,40.7,,,,
16,23.4,30.1,20.6,1011.8,70,0,14.5,13,18.3,,,,,
17,22.6,24,21,1011.9,74,0,12.9,18.1,29.4,38.9,,,,
18,23.9,30.1,19.5,1012,67,1.02,15,13,24.1,38.9,,,,
19,24.3,30.6,19.5,1010.8,63,0,13.5,17.6,33.5,51.9,,,,
20,24.2,29.4,20.4,1010.3,63,0,13.2,19.8,29.4,40.7,,,,
21,24.7,30.5,20.7,1010.3,61,,12.4,15.7,24.1,42.4,,,,
22,23.2,30.5,20.1,1009.6,69,5.08,11.6,18.9,29.4,44.6,,,,
23,24.4,28.4,22,1009.4,61,0,15,22.2,51.9,,,,,
24,24.9,31,22,1008.6,58,0,13.5,22.6,35.2,53.5,,,,
25,24.9,30,21,1009.1,61,,14.5,19.8,35.2,46.5,,,,
26,22.6,31.4,19.8,1011.2,79,0,12.9,7.8,18.3,,,,,
27,23.2,28.4,19.8,1012,67,1.02,14,17,29.4,38.9,,,,
28,23.2,30.3,18.9,1011.7,69,0,15.8,12,22.2,,,,,
29,24.4,30.3,18.9,1011.8,64,0,13.2,13.5,27.8,42.4,,,,
30,23.9,27,20,1011.1,66,1.52,14.2,20.2,42.4,44.6,,,,
31,24.8,30,22,1010.5,61,0,13.2,20.2,27.8,48.2,,,,
