Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,26.3,31,22,1008.7,87,0.51,13.5,0,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,27.5,31.6,23.2,1009.2,83,20.57,15.4,9.3,18.3,,,,,
6,26.1,32.8,22.2,1010.2,85,1.52,9.7,0,,,,,,
7,27,30.4,22.2,1010.0,82,8.89,11.3,2.8,11.1,,,,,
8,26.6,32.2,22.8,1010.3,84,15.49,19,2.2,11.1,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,28.7,31,23,1010.5,76,4.06,19.8,2.8,11.1,,,,,
14,27.9,32,21.8,1010.8,82,2.03,16.6,0,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,27.8,31.5,23.4,1009.8,81,182.12,17.5,0,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,28.3,31.8,22.3,1009.5,79,3.05,18.8,0,,,,,,
22,27.6,31.5,22.8,1009.7,84,4.83,11.7,1.5,7.6,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,22.8,31.2,,1004.7,72,0,12.6,4.1,16.5,,,,,
31,28.3,32.5,23.4,1010.7,77,53.85,20,0,,,,,,
