Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,21.7,25,18,,82,,10.1,11.7,21.9,,,,,
2,22.7,29,20,,77,,8.9,17.2,27.8,,,,,
3,22.7,25,20,,76,,10.3,19.4,27.8,,,,,
4,22.9,26,19,,72,,10.3,24.6,29.4,,,,,
5,22.9,26,19,,74,,10.9,22.2,33.2,,,,,
6,23.8,27,20,,69,,10.8,28.9,36.7,46.1,,,,
7,22.3,25,21,,80,,10,21.1,27.8,,,,,
8,,,,,,,,,,,,,,
9,23.8,24,23,,75,0,11.3,25.7,29.4,47.8,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,24.6,26,20,,69,,10.3,20,29.4,,,,,
17,22.2,24,19,,65,,10.5,25.7,33.2,46.1,,,,
18,20.8,24,18,,67,0,10.3,30,33.2,,,,,
19,,,,,,,,,,,,,,
20,25.3,29,21,,68,,10.3,21.7,40.7,,,,,
21,21.5,23,20,,80,,10.6,21.1,36.7,59.1,,,,
22,,,,,,,,,,,,,,
23,22.8,26,19,,75,0,9.8,21.1,27.8,46.1,,,,
24,24.2,26,22,,64,0,11.3,30.4,40.7,46.1,,,,
25,22.6,25,21,,66,0,10.6,30.2,40.7,46.1,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,22.7,26,20,,78,,7.9,15.2,21.9,36.7,,,,
30,21.1,23,18,,83,0,9.8,17,27.8,,,,,
