Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,24.7,30,21,1017.0,85,0,12.1,10.2,11.1,21.7,,,,
2,25.3,30.1,22,1012.8,76,0.76,12.7,6.9,14.8,25.2,,,,
3,22.9,30.1,21.7,1015.1,62,5.33,13.7,15.9,20.6,,,,,
4,21.5,24,19.8,1019.6,61,0,13.2,8.1,13,32.4,,,,
5,21.8,26,15,1017.3,65,0,13.2,1.9,1.9,32.4,,,,
6,20.9,26.2,14.7,1017.9,77,0,13,2.8,5.4,,,,,
7,23.4,28,14.7,1019.2,76,0,12.6,3.3,9.4,32.4,,,,
8,22.7,28.5,15.4,1018.1,81,0,13.4,5.9,11.1,,,,,
9,23.7,29.7,18,1014.6,75,0,13.2,3.7,7.6,39.6,,,,
10,23.4,30,18.2,1015.6,79,0,12.6,2,3.5,39.6,,,,
11,22.6,28,18.2,1020.6,78,1.52,10.3,9.3,14.8,39.6,,,,
12,20.2,25.5,15,1022.3,79,0,11.4,5.6,14.8,,,,,
13,23.1,26.8,15,1020.5,73,0,11.4,6.3,11.1,,,,,
14,22,26.9,18.5,1019.9,71,0,13.4,2.6,5.4,28.7,,,,
15,,,,,,,,,,,,,,
16,21.7,28,15,1014.9,75,0,12.1,3.5,7.6,25.2,,,,
17,21.9,28,15,1014.7,75,0,13.4,3.5,7.6,,,,,
18,23.5,30,15,1013.8,75,0,12.1,2.2,5.4,25.2,,,,
19,24.1,30,20,1013.7,85,1.52,12.4,2.6,7.6,25.2,,,,
20,24.1,30,20.2,1014.1,85,0.51,11.4,2.6,7.6,21.7,,,,
21,24.8,30,19,1015.0,82,0.25,13.2,2.4,5.4,32.4,,,,
22,24.4,31.5,18.8,1015.5,81,0,12.4,2.6,7.6,39.6,,,,
23,26.5,31.6,18.8,1015.0,76,0,12.1,7,37,,,,,
24,26.6,32.5,21.8,1015.5,74,0,12.1,3.3,7.6,39.6,,,,
25,25.5,33,21.5,1015.7,83,0,12.6,1.9,3.5,39.6,,,,
26,,,,,,,,,,,,,,
27,27.1,31.6,19.5,1013.7,76,0,12.9,6.1,13,35.9,,,,
28,29,32,23.6,1013.8,68,0,12.4,7.4,16.5,39.6,,,,
29,26.7,32.5,22.9,1016.9,75,0,12.2,3.1,7.6,,,,,
30,24.8,29,22.3,1020.5,84,9.91,10.5,4.3,7.6,,,,,
31,24.9,27.6,22.3,1019.6,80,0.25,12.4,4.6,11.1,28.7,,,,
