Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28.1,32,25.5,1013.8,85,0,15.3,13.3,21.7,28.7,,,,
2,26.9,31.4,23.8,1014.2,86,14.48,15,12.4,21.7,,,,,
3,28.3,31.4,23.8,1014.1,83,0,15.9,13.9,28.7,39.6,,,,
4,29.3,31.7,25.5,1015.4,80,0,17.2,17,28.7,39.6,,,,
5,30.3,32.6,24.9,1016.5,76,0,16.4,15.7,21.7,43.2,,,,
6,28.5,32.6,24.9,1016.6,84,0,14.3,10.7,14.4,,,,,
7,26.7,29.8,25.3,1015.8,85,1.02,13.5,14.4,14.4,,,,,
8,29.4,32.2,25,1015.5,73,0,18,15.4,28.7,35.9,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,27.9,31.1,23.9,1016.3,80,0,16.4,13,25.2,35.9,,,,
21,29.2,31.3,24.7,1014.5,75,0,18,11.7,14.4,25.2,,,,
22,27.5,31.5,24.2,1013.6,76,0,14.8,10.7,21.7,,,,,
23,,,,,,,,,,,,,,
24,29.9,31.9,26.5,1013.2,75,0,16.3,13.7,18,,,,,
25,30.2,31.9,25.2,1014.4,78,0,18,18.9,28.7,39.6,,,,
26,29.6,31.9,27.9,1013.2,77,0,16.4,20.9,28.7,35.9,,,,
27,29.1,31.6,27.4,1011.1,80,0.25,12.1,31.1,43.2,,,,,
28,28.9,30.8,27.4,1011.2,80,0,15.3,34.8,46.9,,,,,
29,29.4,31.2,27.6,1012.9,82,0,16.3,25.2,39.6,,,,,
30,29.6,31.5,27.9,1014.2,78,0,15.9,10.7,18,32.4,,,,
31,,,,,,,,,,,,,,
