Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,24.4,30,20.5,1018.4,72,0,8,11.9,21.7,,,,,
2,24.3,31.4,20.3,1016.6,75,0,6.1,13.3,21.7,,,,,
3,25.8,32.5,20.3,1013.8,74,0,8.2,22,46.9,,,,,
4,24.3,27.7,20.6,1014.8,80,6.6,6.9,27.2,35.9,,,,,
5,20.3,30.8,18.7,1021.9,57,6.1,7.6,31.9,39.6,,,,,
6,22.5,24.4,18.7,1022.9,59,0,6.6,33,35.9,,,,,
7,23.8,26,21.2,1022.1,72,0.51,7.2,26.1,35.9,,,,,
8,24.3,27.8,21.2,1020.3,72,0,8.5,19.8,28.7,,,,,
9,23.9,28.5,20.4,1019.1,74,0,7.6,17.6,28.7,,,,,
10,24.2,28.5,20.4,1019.3,71,0,7.4,16.5,28.7,,,,,
11,23.8,27.6,20.4,1020.3,71,0,8.5,16.1,28.7,,,,,
12,23.5,28.5,19.8,1020.4,71,0,8.7,20.2,32.4,,,,,
13,23.6,28.5,19.8,1020,75,0,7.7,20.7,28.7,,,,,
14,21.4,27.4,19,1020,79,0.51,5.5,9.4,25.2,,,,,
15,23.7,26.8,18.8,1019.5,65,0,8.5,10.7,21.7,,,,,
16,23.7,27.7,20.1,1019.4,70,0,9.2,17.6,28.7,,,,,
17,23.7,27.7,20.2,1020,69,0,7.4,16.1,28.7,,,,,
18,23.8,27.5,20.1,1020.1,64,0,7.6,18.5,32.4,,,,,
19,23.7,27.3,20.1,1018.1,66,0,9,19.8,35.9,,,,,
20,23.1,27.3,20.4,1015.9,69,0,7.9,17.4,28.7,,,,,
21,23.8,30.7,19.9,1015.9,67,0,9,20.2,39.6,,,,,
22,24.9,30.7,19.9,1016.9,72,0,6.4,18,28.7,,,,,
23,25.1,30.6,21,1017.4,65,0,9.3,18,28.7,,,,,
24,24.6,30.2,19.9,1016.1,63,0,10,13.3,21.7,,,,,
25,24.4,30.2,19.9,1014.6,75,0,7.6,5.9,14.4,,,,,
26,24.7,28.2,21.1,1014.7,68,0.25,7.6,11.7,21.7,,,,,
27,23.8,28.3,19.5,1016.8,55,0,9.5,11.3,25.2,,,,,
28,24.7,29.8,19.5,1018,61,0,9.8,19.3,28.7,,,,,
29,24.6,30,20,1016.1,64,0,7.7,13.9,21.7,,,,,
30,24.4,30.5,20.5,1015.7,71,0,6.8,14.4,21.7,,,,,
31,25.4,33.1,20.5,1015.6,69,0,9,10.2,21.7,,,,,
