Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,25.8,31.1,21.6,1016.3,61,0.51,11.3,14.8,31.7,40.7,,,,
2,25.4,29.4,21.1,1016.6,65,12.7,11.3,14.6,37,,,,,
3,25.7,30.1,21,1016.6,63,0,11.3,7,14.8,,,,,
4,25.8,30.3,20.9,1016.2,64,0,11.3,10.2,22.2,,,,,
5,26.1,30.4,20.7,1016.9,63,0,11.3,8.9,18.7,,,,,
6,25.9,31.1,20.7,1016.6,63,0,11.3,10.4,25.9,,,,,
7,26.2,31.4,20.7,1016.1,60,0,11.3,14.8,29.4,,,,,
8,26.1,33.7,22.6,1016.8,59,0,11.3,17,31.7,35.2,,,,
9,25.8,33.7,22.6,1018.9,56,7.87,11.3,19.3,27.8,37,,,,
10,24.7,29.8,21.1,1019.2,61,2.54,11.1,13.3,25.9,,,,,
11,24.9,31,20.9,1018.8,57,1.52,11.3,14.4,33.5,44.6,,,,
12,25.5,31.1,20.9,1018.5,56,0,11.3,15.6,35.2,,,,,
13,25.3,31.1,20.2,1016.7,56,0,11.3,17.2,37,,,,,
14,25.9,31.4,20.2,1014.4,55,0,11.3,15.2,37,,,,,
15,26.9,30.9,21.1,1015,59,0,11.3,13.9,35.2,,,,,
16,26.8,32.8,22,1015.8,56,0,11.3,17.8,44.6,57.6,,,,
17,26.6,32.8,22,1015.4,60,0,11.3,12.2,25.9,37,,,,
18,26.8,30.5,22.6,1016.1,64,0,11.3,12.4,24.1,,,,,
19,26.6,31.2,22.1,1017,61,0,11.3,13,25.9,35.2,,,,
20,26.7,31.2,22.1,1016.9,59,0,11.3,9.8,20.6,,,,,
21,26.8,30,23.9,1016,62,0,11.3,11.5,27.8,,,,,
22,25.2,30.1,21.9,1016.7,68,5.84,10.9,11.5,18.7,,,,,
23,25.4,31.9,21.9,1016.2,66,4.57,11.1,11.9,27.8,,,,,
24,26.1,31.1,21.9,1016.4,61,0,10.9,15.6,25.9,31.7,,,,
25,26.3,31.2,21.7,1017.5,61,2.29,11.3,15.2,29.4,40.7,,,,
26,26.3,30.9,22.2,1018.4,59,0,11.3,13,27.8,38.9,,,,
27,26.3,31.1,21.7,1017,60,0,11.3,11.1,20.6,,,,,
28,25.7,31.1,20.4,1016.3,62,0,11.3,13.1,33.5,,,,,
29,26.1,31.1,20.4,1016.3,55,0,11.3,16.9,38.9,46.5,,,,
30,26,31.1,21.7,1015.9,58,0,11.3,12.4,24.1,,,,,
31,26.6,31.1,21.6,1015,62,0,11.3,12.4,25.9,,,,,
