Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.3,31,23,,80,0,8.9,11.1,20.6,,,,,
2,26.7,32,23,,75,0,9,10.6,20.6,,,,,
3,25.8,32,20,,72,0,8.5,13.3,27.8,,,,,
4,25.6,31,21,,75,0,9.2,15,29.4,,,,,
5,26.1,31,22,,80,0,8.7,13.3,24.1,,,,,
6,27,32,23,,78,0,9.3,16.7,24.1,,,,,
7,26.1,32,24,,85,0,9,13,24.1,,,,,
8,26.8,33,22,,79,,8.7,10.4,20.6,,,,,
9,26.1,33,22,,84,,6.3,6.9,16.5,,,,,
10,24.7,30,22,,89,,7.7,10.6,27.8,,,,,
11,24.1,27,22,,91,,8.5,14.6,31.7,,,,,
12,25.4,31,22,,86,0,8.5,8.9,18.3,,,,,
13,25.4,30,22,,84,0,8,8.5,22.2,,,,,
14,25.2,30,21,,86,0,7.7,11.5,25.9,,,,,
15,26.4,32,22,,79,0,8.5,9.4,14.8,,,,,
16,25.9,32,22,,83,0,7.1,5.4,11.1,,,,,
17,24.7,29,22,,85,0,7.2,6.9,13,,,,,
18,23.8,26,22,,83,,8.4,7,13,,,,,
19,23.6,27,22,,84,,8.5,7.8,18.3,,,,,
20,23.9,27,19,,70,0,8.9,11.5,24.1,42.4,,,,
21,22.8,28,18,,72,0,8.9,12.8,27.8,,,,,
22,22.3,29,18,,77,0,8.7,10.2,24.1,,,,,
23,24.9,29,21,,70,0,9.5,15.2,27.8,,,,,
24,24.2,31,19,,75,0,9,7.6,16.5,,,,,
25,23.8,30,18,,78,0,6.8,5.9,13,,,,,
26,25.1,30,19,,77,0,7.9,13,20.6,,,,,
27,25.8,31,22,,78,0,9.7,15.6,22.2,,,,,
28,24.9,30,20,,77,0,9.5,15.9,29.4,,,,,
29,22.6,29,18,,77,0,8.9,10.7,22.2,,,,,
30,22.4,28,17,,77,0,8.5,11.1,24.1,,,,,
