Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,25.8,30,20,1018.7,68,0,12.7,21.9,29.4,,,,,
2,25.8,31,21,1017.9,69,0,11.4,20.4,29.4,,,,,
3,23.8,31,21,1017,87,1.52,5.5,15.4,27.8,,,,,
4,25.6,31,21,1015.8,79,4.06,8.9,10.4,27.8,,,,,
5,26.2,31,21,1015.8,78,0,10,5.9,20.6,,,,,
6,25.3,32,17,1016.4,80,0,9.7,1.9,3.5,,,,,
7,25.2,31,22,1016.2,81,12.95,8.4,4.3,14.8,,,,,
8,25.7,31,21,1015.8,79,0,10.1,4.4,18.3,,,,,
9,25,32,21,1013.7,80,19.05,6.8,6.9,18.3,,,,,
10,26.6,31,21,1012.3,76,0.25,9.3,16.3,59.4,,,,,
11,25.2,32,22,1013.5,82,10.92,8.5,8.7,18.3,,,,,
12,24.6,31,20,1015,82,21.08,9.5,4.6,16.5,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,23.6,30,20,1014.6,84,0,8,8.7,16.5,,,,,
16,24.5,30,20,1018.1,82,,12.6,22.2,29.4,,,,,
17,23.2,27,20,1017.9,91,0,7.4,10.7,18.3,,,,,
18,22.5,29,20,1016.7,85,0,8.5,10.2,27.8,,,,,
19,26.6,31,20,1015.3,80,,9.8,17.8,27.8,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,23.8,31,21,1013.4,85,3.05,7.7,9.6,18.3,,,,,
23,25.3,30,21,1014.6,80,0,10.8,5.9,14.8,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,25.8,32,21,1013,81,2.03,10.8,4.1,9.4,,,,,
27,24.2,30,21,1013.5,84,0,11.7,5.6,18.3,,,,,
28,24,30,21,1011.9,85,0,9.7,1.9,1.9,,,,,
29,23.4,31,21,1012.8,90,21.08,10,8.9,11.1,,,,,
30,23.2,26,22,1015.5,90,,10,13.3,22.2,,,,,
31,,,,,,,,,,,,,,
