Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,25.3,27,24,,81,0,10.5,21.5,29.4,,,,,
4,24.4,27,22,,87,,8.7,17.2,29.4,,,,,
5,,,,,,,,,,,,,,
6,20.8,28,6.3,,81,0,11.1,26.7,37,,,,,
7,26.5,29,24,,79,0,10.6,11.1,18.3,,,,,
8,24.4,25,23,,85,0,11.1,9.4,18.3,,,,,
9,23.2,24,23,,65,0,10.9,27.8,29.4,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,23.3,26,21,,82,0,9.8,22,37,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
