Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,25,27.7,22.8,1013.4,92,24.38,6.3,7.2,14.4,,,,,
4,25.7,29.5,22.8,1013.8,91,0.51,6.3,0,,,,,,
5,25.5,29,23.6,1014.3,89,61.72,8.9,4.3,10.7,,,,,
6,27.2,28.6,24,1013.8,87,16.76,9.2,12.2,21.7,,,,,
7,26.9,28.1,26.2,1014,87,0.51,5,14.4,14.4,,,,,
8,27.4,28.6,26,1011.2,84,0,7.9,24.1,32.4,,,,,
9,25.8,29,23.6,1010.6,84,71.88,9.2,47.6,100.7,,,,,
10,27.4,31.1,23.6,1011.1,74,68.83,8.5,13.1,21.7,,,,,
11,26.3,31.4,22.7,1012.2,83,0,8.4,8.7,18,,,,,
12,27.7,28.7,25.4,1013.2,79,9.91,10.3,17,25.2,,,,,
13,26.7,28.1,22.7,1014,83,0,9.7,23.3,28.7,,,,,
14,27.2,28.6,24.6,1013,81,5.08,9.2,22.2,32.4,,,,,
15,27.1,28.4,24.6,1012.2,84,5.84,6.3,13.7,21.7,,,,,
16,25.1,29,23.2,1014,89,4.57,6.8,7.2,14.4,,,,,
17,,,,,,,,,,,,,,
18,24.8,27.6,23.7,1015,82,33.78,8.2,37.6,43.2,,,,,
19,,,,,,,,,,,,,,
20,24.4,25.8,22.5,1016.8,59,0.51,8.5,31.1,35.9,,,,,
21,25.2,26.1,24.5,1017.5,61,0,9.7,27,28.7,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,24.3,25.3,22.9,1016.9,81,4.06,8,30.9,43.2,,,,,
26,23.7,26.2,20,1017,78,12.45,10,23.3,46.9,,,,,
27,25.1,26.7,20,1018.4,66,0.51,6.9,22.2,25.2,,,,,
28,24.5,26.9,23.2,1017.6,63,0.25,9,20,25.2,,,,,
29,23.8,26.7,19.3,1015.4,70,0,9,11.9,18,,,,,
30,24.7,27.8,19.7,1014.1,78,0,9,15.4,32.4,,,,,
