Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28.1,32,25,,65,0,9.2,15.4,22.2,,,,,
2,27.7,32.2,24.5,,72,0,9,16.5,35.9,,,,,
3,29.8,30,29.5,1007.9,67,0,9,24.6,25.2,,,,,
4,,,,,,,,,,,,,,
5,27.4,29,25,,85,,6.9,31.1,38.9,68.3,,,,
6,28.3,30.2,25.3,,80,,8,25.9,33.5,44.6,,,,
7,28.7,31,27,,73,0,8.7,12.2,21.7,,,,,
8,27.3,32.2,24,,76,0,9,9.3,14.8,,,,,
9,27.3,32.3,23.7,,72,0,9,11.3,22.2,,,,,
10,26.8,32.3,23.9,,83,0,9,10,18,,,,,
11,26.9,31,23.8,,72,0,9.3,13,18.3,,,,,
12,26.1,30,22,,74,0,9,8.5,13,,,,,
13,26.7,31,23,,75,0,9,8,14.8,,,,,
14,27.4,33.1,23.7,,73,0,8.9,9.8,20.6,,,,,
15,26,31.5,22.9,,76,1.02,8.7,9.8,14.4,,,,,
16,26.8,31.4,23.9,,76,0,9.2,10.6,14.8,,,,,
17,25.4,31.4,22.9,,81,2.03,8.5,10.7,18.3,,,,,
18,25.6,31.2,22,,78,32,9,10.7,16.5,,,,,
19,26.1,30.1,22,,72,0,9.5,13,18.3,,,,,
20,25.8,30.2,21.8,,73,0,9,11.1,14.8,,,,,
21,25.6,29,22,,80,0,9,9.8,22.2,,,,,
22,26,29.2,22.8,,79,28.96,8.5,11.1,20.6,,,,,
23,26.6,31,23,,70,0,9.5,13.3,18.3,,,,,
24,26.4,32,23,,68,0,9,14.6,20.6,,,,,
25,26.3,32.4,23.8,,67,0,9.2,17.2,24.1,,,,,
26,26.3,31,23,,63,0,9,16.5,21.7,,,,,
27,26.4,29,23.9,,65,0,9,14.8,22.2,,,,,
28,26.8,30,25,,71,0,9,11.9,20.6,,,,,
29,26,32.4,22.5,,80,2.03,9.2,8,14.4,,,,,
30,26.9,30,24,,77,0,9,7.2,13,,,,,
31,26.2,32.2,23.6,,79,,9,10.9,14.8,40.7,,,,
