Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28.4,32.6,22.1,1013.2,70,0,16.1,9.4,14.8,,,,,
2,28.8,32,22,1013.2,67,0,17.2,11.5,20.6,,,,,
3,29.3,33,22.3,1014.1,66,0,17.9,11.5,18.3,,,,,
4,26.8,32.3,21,1014.3,76,1.52,15.1,7.8,14.8,,,,,
5,28.9,32.9,23.5,1013.2,65,8.13,14.5,12.6,28.7,,,,,
6,30.2,32.9,25.6,1013,58,1.27,15.6,13.1,22.2,,,,,
7,27.7,30,24,1014.5,75,2.29,16.6,7.2,14.8,,,,,
8,29.8,34,25,,65,1.78,15,10.2,20.6,,,,,
9,29.1,33.5,23.4,,65,17.02,15.1,11.3,18.3,,,,,
10,28.7,31.1,23,1013.9,66,0,17.1,8.5,11.1,,,,,
11,28.1,32,21.5,1013.1,65,0,17.1,8.1,9.4,,,,,
12,28.1,34.3,21.5,1012.8,68,0,18.8,10.4,14.8,,,,,
13,28,34.3,22.2,1012.5,67,0,17.9,8,11.1,,,,,
14,28.1,30,22,1011.9,70,0,16.1,10,20.6,,,,,
15,28.8,33,24,1011.4,58,1.78,17.2,10.4,18.3,,,,,
16,28.4,32.9,23.5,,70,4.83,13.5,10.7,33.5,,,,,
17,29,32.9,23,1015.1,61,5.33,16.3,13.3,20.6,,,,,
18,27.4,32.4,23,,70,6.86,12.7,7.6,13,,,,,
19,28.9,33,24,1011.9,63,0.76,15.9,10.4,22.2,,,,,
20,28,32.7,22.8,1011.3,69,0,15.9,8.5,14.8,,,,,
21,27.1,31.3,21.8,1011.3,71,0,15.9,11.3,18.3,,,,,
22,27.8,31.3,21.8,1011.7,69,8.64,15.9,8.3,11.1,,,,,
23,28.7,33,22,1011.9,62,0.51,17.2,10.4,16.5,,,,,
24,28.8,32,22,1012.7,63,0,17.5,13.5,24.1,,,,,
25,28.1,32.8,22.4,1013.7,64,0,17.1,8.3,14.8,,,,,
26,28.7,32.6,22.6,1012.8,62,3.56,17.1,14.3,22.2,,,,,
27,26.7,30,23,1012.8,75,41.4,14.5,10.2,27.8,,,,,
28,27.2,31.5,23.3,1012.6,70,16.51,14.5,10.9,16.5,,,,,
29,28.7,32.3,22.3,1011.5,66,1.52,17.9,10.2,14.8,,,,,
30,26.6,30,22,,80,7.37,12.9,7.4,9.4,,,,,
31,26.8,30.9,22.4,1009.5,78,8.89,14.2,8.1,11.1,,,,,
